elapsed_ms,private_bytes,working_set_bytes,os_peak_working_set_bytes
30.264,1175552,2605056,2605056
164.706,25993216,34578432,46739456
286.850,59555840,69357568,72929280
395.590,35520512,46284800,72929280
505.672,62984192,72257536,73117696
615.097,29687808,38420480,73170944
723.773,64274432,73080832,73207808
833.269,37650432,46673920,73420800
943.482,32808960,40771584,74842112
1054.107,63713280,72413184,74842112
1163.332,38539264,46731264,75431936
1273.425,64602112,73494528,75431936
1383.511,54308864,63836160,75599872
1494.302,39182336,47738880,75599872
1619.255,36569088,43593728,75620352
1744.103,45518848,55549952,75620352
1870.375,64933888,73986048,75636736
1996.074,57085952,66334720,75681792
2118.583,49303552,56602624,75681792
2241.606,38666240,43999232,76394496
2351.558,64966656,73510912,76394496
2463.541,163708928,171409408,171409408
2589.265,296529920,300535808,300535808
2716.213,150114304,152711168,300556288
2841.743,70725632,73494528,300556288
2967.905,102830080,108953600,300556288
3093.304,99241984,98828288,300556288
3202.854,114229248,120766464,300556288
3313.387,93519872,93310976,300556288
3424.225,75268096,79675392,300556288
3533.486,86904832,94068736,300556288
3642.336,82665472,91320320,300556288
3752.093,119304192,124243968,300556288
3861.068,98889728,105181184,300556288
3971.566,104755200,112959488,300556288
4078.638,100294656,105549824,300556288
4189.483,91430912,99352576,300556288
4299.451,81776640,90472448,300556288
4410.130,119177216,124063744,300556288
4520.879,103989248,110235648,300556288
4631.571,118415360,125480960,300556288
4741.300,103288832,107999232,300556288
4851.636,120283136,127565824,300556288
4962.159,72347648,79904768,300556288
5088.546,120406016,127033344,300556288
5213.597,86556672,95043584,300556288
5339.061,121319424,125833216,300556288
5465.630,121323520,127397888,300556288
5592.521,99258368,105947136,300556288
5717.582,120700928,126865408,300556288
5828.072,121253888,127840256,300556288
5938.672,120168448,127336448,300556288
6051.012,117882880,123224064,300556288
6159.731,121225216,127184896,300556288
6271.658,126255104,131411968,300556288
6381.300,122081280,128806912,300556288
6489.638,117923840,122568704,300556288
6598.520,122335232,128012288,300556288
6709.654,122454016,128847872,300556288
6819.927,122454016,128974848,300556288
6927.598,123273216,129953792,300556288
7037.180,123273216,129499136,300556288
7145.357,122851328,129560576,300556288
7256.680,122851328,129196032,300556288
7365.200,120578048,127430656,300556288
7475.519,121655296,128389120,300556288
7584.963,121655296,128176128,300556288
7694.794,121487360,128184320,300556288
7804.547,123592704,129478656,300556288
7914.184,120459264,127254528,300556288
8024.372,122646528,128733184,300556288
8134.236,121536512,128393216,300556288
8259.867,122368000,128868352,300556288
8385.053,118050816,121192448,300556288
8511.024,121253888,126496768,300556288
8636.336,122118144,128012288,300556288
8761.874,120832000,126726144,300556288
8875.639,176410624,160555008,300556288
8984.449,239579136,245080064,300556288
9108.782,385245184,386445312,386445312
9218.219,348000256,349003776,418906112
9342.557,323506176,318029824,418906112
9452.411,235134976,239206400,418906112
9577.548,218324992,223735808,418906112
9688.873,218324992,223371264,418906112
9797.628,211853312,217358336,418906112
9908.468,211853312,217051136,418906112
10019.133,210804736,216309760,418906112
10128.014,210804736,216113152,418906112
10238.560,209690624,215273472,418906112
10349.122,209690624,215158784,418906112
10458.222,209690624,215228416,418906112
10567.219,209690624,215261184,418906112
10676.584,209690624,215248896,418906112
10786.957,209690624,215293952,418906112
10898.234,209690624,214982656,418906112
11009.223,209690624,215289856,418906112
11134.152,209690624,215052288,418906112
11259.077,209690624,215224320,418906112
11384.317,209690624,214949888,418906112
11509.572,209690624,215265280,418906112
11635.361,209690624,215240704,418906112
11761.061,209690624,215011328,418906112
11886.371,209690624,215199744,418906112
12010.581,209690624,215080960,418906112
12137.416,209690624,215257088,418906112
12262.882,209690624,215191552,418906112
12388.072,209690624,215171072,418906112
12514.298,209690624,215195648,418906112
12624.786,117137408,123748352,418906112
12735.828,159531008,162131968,418906112
12845.837,162938880,166494208,418906112
12956.269,163692544,167956480,418906112
13067.687,163692544,168128512,418906112
13177.504,163753984,168243200,418906112
13286.917,163753984,168251392,418906112
13396.836,166252544,170364928,418906112
13506.421,166252544,170328064,418906112
13615.415,166789120,170184704,418906112
13724.581,166789120,170078208,418906112
13835.008,167759872,170258432,418906112
13946.224,167759872,170123264,418906112
14056.823,167784448,170319872,418906112
14182.008,167784448,170110976,418906112
14308.670,169938944,171900928,418906112
14434.456,169938944,171810816,418906112
14560.317,169959424,171954176,418906112
14686.112,169959424,171786240,418906112
14809.578,170131456,171974656,418906112
14934.976,170131456,171810816,418906112
15060.475,170180608,172015616,418906112
15185.428,170217472,171995136,418906112
15309.813,170217472,172109824,418906112
15433.714,170217472,172109824,418906112
15558.966,170217472,172167168,418906112
15685.021,170283008,172109824,418906112
15809.458,170283008,172048384,418906112
15936.230,170299392,172195840,418906112
16046.787,170913792,172576768,418906112
16170.738,171560960,173342720,418906112
16281.101,171560960,173338624,418906112
