elapsed_ms,private_bytes,working_set_bytes,os_peak_working_set_bytes
26.059,1142784,3387392,3387392
162.367,35655680,45187072,46366720
287.110,36077568,46845952,73117696
398.415,30220288,39731200,73117696
509.410,30167040,39972864,73363456
619.769,41984000,51945472,73363456
727.479,63852544,73560064,73625600
837.915,40292352,50528256,74936320
948.160,34209792,42831872,74989568
1057.905,36651008,43134976,74989568
1167.273,55140352,64536576,75051008
1276.851,30081024,40845312,75194368
1387.697,34050048,43507712,75788288
1496.739,44298240,53227520,75788288
1602.874,64724992,73682944,75788288
1711.252,40464384,51064832,75825152
1820.073,35614720,44552192,75825152
1930.518,63815680,72491008,75825152
2040.695,35856384,43450368,75931648
2150.330,34594816,43741184,75931648
2260.358,35487744,44257280,75931648
2370.365,43458560,51900416,75931648
2478.464,65142784,74440704,75931648
2588.398,39055360,46837760,75931648
2698.524,34263040,44691456,76312576
2808.023,64905216,72814592,76312576
2916.718,139841536,148738048,148738048
3024.285,269123584,274309120,274309120
3132.762,147886080,154664960,301056000
3242.587,74010624,79785984,301056000
3350.413,94154752,99680256,301056000
3459.774,83316736,75522048,301056000
3568.914,66203648,74862592,301056000
3680.230,72925184,77197312,301056000
3791.749,95633408,102281216,301056000
3899.437,82296832,88985600,301056000
4006.442,114896896,121696256,301056000
4116.560,69345280,78557184,301056000
4226.174,79671296,82718720,301056000
4336.147,104919040,111767552,301056000
4446.284,93274112,101761024,301056000
4555.276,116809728,122281984,301056000
4666.079,95686656,101847040,301056000
4774.879,117444608,124088320,301056000
4885.941,118181888,125911040,301056000
4996.921,91160576,97636352,301056000
5107.314,81645568,90365952,301056000
5214.211,89387008,91799552,301056000
5321.801,123047936,127926272,301056000
5429.426,72069120,81436672,301056000
5537.458,118996992,125812736,301056000
5646.159,111792128,118054912,301056000
5755.115,117739520,124932096,301056000
5864.967,118788096,126308352,301056000
5974.121,123006976,129908736,301056000
6082.809,79355904,89018368,301056000
6192.469,119742464,125493248,301056000
6317.155,119771136,127102976,301056000
6426.613,119930880,128139264,301056000
6537.053,126271488,130736128,301056000
6645.446,119988224,128278528,301056000
6755.478,119992320,127713280,301056000
6865.674,120004608,127901696,301056000
6974.913,120004608,128307200,301056000
7083.186,119980032,124624896,301056000
7193.029,120758272,127418368,301056000
7303.901,120786944,128233472,301056000
7414.656,120983552,128987136,301056000
7524.048,118034432,122978304,301056000
7634.603,120553472,128069632,301056000
7743.605,120659968,128405504,301056000
7854.546,120672256,128356352,301056000
7965.065,120811520,129101824,301056000
8075.267,120922112,129048576,301056000
8185.130,120942592,128798720,301056000
8295.899,121028608,129384448,301056000
8420.126,117846016,123449344,301056000
8530.815,121638912,128061440,301056000
8655.178,122167296,129437696,301056000
8780.511,122249216,129875968,301056000
8905.989,122249216,129847296,301056000
9031.025,147271680,156418048,301056000
9156.077,239456256,245428224,301056000
9280.745,393289728,394412032,394412032
9405.093,312705024,313135104,419987456
9530.251,323256320,318083072,419987456
9656.958,216641536,221655040,419987456
9782.361,101048320,108765184,419987456
9907.692,152055808,151945216,419987456
10030.767,166666240,159268864,419987456
10155.085,167821312,160210944,419987456
10280.519,166678528,159367168,419987456
10407.309,171003904,162668544,419987456
10533.696,171016192,162508800,419987456
10658.908,172244992,164319232,419987456
10784.317,174977024,166219776,419987456
10910.226,174018560,166027264,419987456
11021.398,172171264,165171200,419987456
11132.668,172187648,165363712,419987456
11242.864,172576768,166825984,419987456
11351.371,172576768,167010304,419987456
11460.299,173273088,168136704,419987456
11569.281,173289472,168370176,419987456
11677.027,173289472,168210432,419987456
11786.283,173289472,168349696,419987456
11896.384,173981696,168882176,419987456
12004.483,173981696,168923136,419987456
12127.467,174411776,168415232,419987456
12253.448,177991680,171036672,419987456
12377.643,175886336,169701376,419987456
12502.114,177123328,171282432,419987456
12626.242,177123328,171724800,419987456
12752.639,177123328,171761664,419987456
12878.957,177123328,172007424,419987456
13003.676,177147904,171974656,419987456
13126.996,177147904,171859968,419987456
13252.085,177074176,171909120,419987456
13376.834,179470336,173617152,419987456
13500.570,180621312,174874624,419987456
13627.161,179478528,174497792,419987456
13752.465,179478528,174542848,419987456
13876.827,179486720,174354432,419987456
14002.362,179486720,174485504,419987456
14128.512,179486720,174501888,419987456
14239.925,179486720,174362624,419987456
14348.978,180289536,174465024,419987456
14458.203,180289536,174370816,419987456
14567.667,180289536,174497792,419987456
14677.824,180289536,174514176,419987456
14787.128,180289536,174477312,419987456
14897.845,180289536,174370816,419987456
15008.182,180289536,174542848,419987456
15118.024,180289536,174563328,419987456
15228.714,180289536,174452736,419987456
15338.684,116305920,122556416,419987456
15451.736,110395392,116928512,419987456
15573.424,135204864,140058624,419987456
15682.530,160301056,161169408,419987456
15793.584,160190464,160743424,419987456
15902.459,161775616,162414592,419987456
16012.127,161947648,162992128,419987456
16122.240,161947648,163151872,419987456
16232.129,162091008,163307520,419987456
16342.699,162107392,163827712,419987456
16467.119,163274752,165142528,419987456
16577.789,162377728,163905536,419987456
16704.076,162410496,164143104,419987456
16829.976,201904128,206860288,419987456
16954.876,204120064,209793024,419987456
17078.984,70324224,73854976,419987456
17203.086,71655424,74334208,419987456
17329.952,72052736,75931648,419987456
17455.292,72945664,76734464,419987456
17582.175,72945664,77447168,419987456
17706.701,72945664,78389248,419987456
17818.293,88731648,92143616,419987456
17927.880,88731648,92164096,419987456
18037.645,88641536,92954624,419987456
18146.980,89653248,92422144,419987456
18255.746,89653248,93110272,419987456
18365.762,90435584,93499392,419987456
18475.682,90435584,92905472,419987456
18587.284,89292800,92594176,419987456
18697.251,90435584,93495296,419987456
18807.654,90435584,93130752,419987456
18916.956,90865664,94011392,419987456
19026.871,90865664,94121984,419987456
19137.048,92008448,95264768,419987456
19247.000,92008448,94752768,419987456
19355.589,92008448,94945280,419987456
19465.767,90865664,94289920,419987456
19576.277,92008448,95178752,419987456
19685.615,92008448,94687232,419987456
19796.229,92971008,96075776,419987456
19920.498,92008448,95002624,419987456
20046.025,90865664,94330880,419987456
20169.582,92008448,95248384,419987456
20279.594,92008448,94892032,419987456
20388.851,90865664,94330880,419987456
20500.174,92008448,94822400,419987456
