elapsed_ms,private_bytes,working_set_bytes,os_peak_working_set_bytes
25.100,1433600,3481600,3481600
143.257,59912192,55738368,67538944
266.370,62746624,72732672,85979136
375.531,37507072,48951296,87052288
486.618,39235584,50323456,87109632
595.643,39694336,50503680,87416832
704.262,45137920,54722560,87416832
813.207,56823808,66437120,87547904
922.581,75702272,85577728,88109056
1031.626,77459456,87347200,88457216
1139.902,77824000,87691264,88457216
1248.949,47661056,55885824,88649728
1359.458,46006272,55750656,88903680
1468.843,47067136,56180736,88903680
1577.404,59072512,64905216,89047040
1687.561,47104000,56365056,92549120
1797.332,63553536,68435968,92913664
1905.899,69820416,79208448,92913664
2015.804,77836288,87773184,92913664
2124.910,78852096,88514560,92913664
2233.904,46362624,56664064,93179904
2342.626,48431104,57139200,93655040
2451.562,56909824,66584576,93655040
2559.698,69206016,78471168,93655040
2668.327,78786560,88408064,93655040
2791.672,54640640,58863616,93655040
2903.795,56799232,66035712,93655040
3014.169,52129792,61124608,93655040
3123.624,52412416,59482112,93700096
3233.341,101048320,111624192,111624192
3343.291,238596096,245170176,245170176
3452.157,247541760,253816832,313802752
3562.979,185806848,189952000,313802752
3670.133,106622976,111038464,313802752
3780.390,72126464,81559552,313802752
3889.122,85184512,90677248,313802752
3996.795,83247104,92000256,313802752
4119.798,86171648,92819456,313802752
4245.059,95141888,103206912,313802752
4369.985,92012544,96657408,313802752
4494.637,90054656,99209216,313802752
4619.365,91496448,94392320,313802752
4746.092,126783488,133849088,313802752
4857.121,127770624,135708672,313802752
4967.642,128348160,134950912,313802752
5076.946,128532480,136802304,313802752
5185.317,129163264,136634368,313802752
5295.091,128393216,136556544,313802752
5404.419,128667648,136843264,313802752
5513.597,128774144,137510912,313802752
5622.578,94646272,98758656,313802752
5732.160,116142080,121372672,313802752
5840.688,129900544,137695232,313802752
5951.855,130076672,138416128,313802752
6060.597,130613248,138977280,313802752
6171.232,130646016,139558912,313802752
6281.763,132292608,140734464,313802752
6391.493,130142208,139186176,313802752
6500.624,130195456,138715136,313802752
6609.441,85934080,95748096,313802752
6718.778,128802816,135118848,313802752
6830.274,129822720,137510912,313802752
6940.334,132739072,138465280,313802752
7050.029,130863104,138305536,313802752
7160.722,129744896,134987776,313802752
7270.737,131641344,138543104,313802752
7381.347,132190208,139718656,313802752
7507.452,133058560,140914688,313802752
7633.684,129998848,135634944,313802752
7757.603,132333568,138969088,313802752
7884.502,97165312,105684992,313802752
8010.533,134238208,139862016,313802752
8122.863,108892160,110219264,313802752
8232.430,132882432,138547200,313802752
