elapsed_ms,private_bytes,working_set_bytes,os_peak_working_set_bytes
28.119,1564672,4427776,4427776
158.732,53157888,44605440,56905728
280.476,75673600,84856832,84856832
390.366,77557760,87212032,87212032
499.948,77840384,87560192,87560192
609.577,77959168,87732224,87732224
733.301,47706112,53465088,87949312
842.593,44617728,55033856,88408064
951.415,45989888,55787520,88526848
1061.137,52035584,60260352,92635136
1170.685,67907584,76722176,92819456
1294.964,79876096,89174016,92852224
1405.043,79925248,89325568,92852224
1514.839,78872576,88403968,92999680
1627.039,85635072,92213248,92999680
1749.299,58175488,68308992,93003776
1859.126,50106368,58470400,93003776
1968.505,52420608,59375616,93114368
2077.042,53534720,59203584,93114368
2200.953,59023360,67235840,93114368
2326.165,79159296,88498176,93114368
2436.105,78667776,88236032,93851648
2547.171,56512512,66953216,93970432
2654.834,51585024,59060224,93970432
2764.566,50970624,58691584,93970432
2872.827,54824960,60682240,93970432
2997.658,61202432,68153344,93970432
3121.744,64811008,73818112,93970432
3247.528,79503360,88649728,93982720
3369.908,79601664,88911872,93982720
3495.032,149180416,158138368,158138368
3621.345,287469568,292233216,292233216
3747.373,157032448,165408768,314384384
3872.348,171266048,178376704,314384384
3996.105,126951424,111554560,314384384
4123.123,121843712,114880512,314384384
4232.225,129679360,134438912,314384384
4343.942,101625856,103653376,314384384
4454.398,102490112,110141440,314384384
4565.149,88154112,96346112,314384384
4674.383,112648192,120152064,314384384
4783.213,131780608,136089600,314384384
4893.093,134651904,140328960,314384384
5003.703,84213760,93356032,314384384
5112.622,131862528,137908224,314384384
5223.322,85282816,94810112,314384384
5333.664,131612672,136921088,314384384
5443.384,134574080,140857344,314384384
5552.155,130506752,136724480,314384384
5662.903,94629888,101163008,314384384
5771.729,117338112,124399616,314384384
5881.966,91258880,98557952,314384384
5990.380,119160832,124977152,314384384
6101.053,140148736,144560128,314384384
6225.681,137179136,143552512,314384384
6335.977,137179136,143368192,314384384
6460.990,137244672,143867904,314384384
6587.057,138326016,144388096,314384384
6711.856,137269248,143925248,314384384
6838.903,110350336,117477376,314384384
6964.550,135512064,138510336,314384384
7091.006,137080832,142536704,314384384
7202.214,137113600,143044608,314384384
7326.215,137179136,143704064,314384384
7451.567,131534848,136019968,314384384
7561.084,138092544,142856192,314384384
7671.659,138092544,143233024,314384384
7781.829,138207232,143982592,314384384
7890.768,95289344,103469056,314384384
8001.480,136044544,137768960,314384384
8111.536,138149888,142913536,314384384
8219.989,138174464,143798272,314384384
8328.699,138231808,144412672,314384384
8439.236,108068864,115945472,314384384
8549.195,134189056,138493952,314384384
8659.279,137265152,142278656,314384384
8768.984,137273344,142766080,314384384
8879.460,137314304,143065088,314384384
8987.109,137322496,143323136,314384384
9095.864,138354688,144117760,314384384
9205.641,90128384,98480128,314384384
9313.752,132673536,137842688,314384384
9424.285,136290304,142381056,314384384
9534.844,138194944,144191488,314384384
9645.430,138280960,144732160,314384384
