elapsed_ms,private_bytes,working_set_bytes,os_peak_working_set_bytes
25.840,1441792,3497984,3497984
148.366,44392448,50286592,56967168
272.479,75661312,85880832,85880832
396.088,39227392,49549312,86847488
505.952,46428160,56061952,86933504
613.881,44933120,55115776,87076864
723.294,52826112,62574592,87076864
834.304,65912832,76341248,88100864
958.966,74448896,84430848,88993792
1067.174,46116864,55681024,88993792
1176.485,46399488,55681024,92594176
1285.917,43552768,54947840,92594176
1396.353,56856576,66174976,92635136
1504.919,55140352,63918080,92635136
1613.406,47570944,57847808,92635136
1724.018,48558080,56569856,92635136
1832.689,48349184,57892864,92831744
1942.909,54960128,63692800,92831744
2052.170,74866688,84770816,92880896
2161.681,78417920,88326144,92880896
2272.405,69644288,78684160,93601792
2395.708,51793920,59404288,93601792
2506.147,55791616,65265664,93601792
2616.203,69201920,79400960,93650944
2743.881,55644160,66387968,93650944
2869.503,51851264,59367424,93650944
2996.716,69365760,79224832,93650944
3121.575,79302656,88715264,93650944
3233.908,80211968,89227264,93827072
3345.536,164118528,172986368,172986368
3455.065,296300544,301309952,301309952
3566.588,156475392,164216832,313573376
3675.877,212484096,218210304,313573376
3783.769,85352448,87859200,313573376
3892.817,81543168,88899584,313573376
4001.170,86708224,94457856,313573376
4111.020,85372928,92045312,313573376
4219.390,82743296,91996160,313573376
4328.087,88907776,94683136,313573376
4436.975,109846528,118509568,313573376
4546.043,130580480,136720384,313573376
4654.471,128790528,136421376,313573376
4765.676,128319488,134881280,313573376
4877.309,128827392,136761344,313573376
4986.446,133062656,139948032,313573376
5095.911,98840576,106254336,313573376
5205.187,97521664,105791488,313573376
5314.667,129351680,136441856,313573376
5423.137,87502848,97574912,313573376
5531.511,129441792,136359936,313573376
5640.225,88571904,96837632,313573376
5750.582,131002368,136105984,313573376
5860.222,86159360,95154176,313573376
5970.397,130437120,135704576,313573376
6079.787,88702976,98004992,313573376
6188.916,130371584,135614464,313573376
6298.359,131338240,137977856,313573376
6409.089,131411968,138399744,313573376
6518.283,131416064,139026432,313573376
6628.647,129396736,135815168,313573376
6739.110,110272512,118390784,313573376
6847.867,130322432,137437184,313573376
6959.039,131399680,138620928,313573376
7069.408,131407872,138502144,313573376
7194.231,100032512,106692608,313573376
7304.424,114548736,122413056,313573376
7429.101,130183168,136953856,313573376
7553.890,130531328,137662464,313573376
7681.177,130625536,137723904,313573376
7806.186,130625536,137945088,313573376
7932.240,130715648,139276288,313573376
8056.254,131686400,139526144,313573376
8183.516,131792896,140607488,313573376
8306.957,130084864,135667712,313573376
8431.859,131317760,138002432,313573376
8557.295,131350528,138371072,313573376
8680.825,131416064,138915840,313573376
8805.206,132415488,139010048,313573376
8929.609,132440064,139915264,313573376
9054.078,133435392,140689408,313573376
9180.197,137650176,143663104,313573376
9305.066,133550080,140976128,313573376
9432.611,131309568,136298496,313573376
9555.193,132042752,138027008,313573376
9680.345,134053888,140046336,313573376
9806.165,133079040,139853824,313573376
9931.345,133111808,139730944,313573376
10055.645,133111808,140017664,313573376
10180.252,133111808,139530240,313573376
10305.120,133115904,139948032,313573376
10430.948,133144576,139878400,313573376
10554.158,133144576,140034048,313573376
10679.412,133468160,141058048,313573376
10805.747,134520832,141606912,313573376
10930.859,133562368,141451264,313573376
11055.149,133672960,141152256,313573376
11182.269,141635584,150642688,313573376
11305.032,274432000,278900736,313573376
11429.207,408797184,409694208,409694208
11554.662,360460288,361418752,430219264
11679.323,358076416,352018432,430219264
11804.857,336039936,338788352,430219264
11928.681,282931200,271482880,430219264
12052.752,247767040,252735488,430219264
12160.160,247767040,252776448,430219264
12270.331,245399552,250716160,430219264
12379.630,245399552,250839040,430219264
12489.146,245399552,250531840,430219264
12597.317,245399552,250744832,430219264
12706.971,245399552,250613760,430219264
12816.580,245399552,250785792,430219264
12928.511,245399552,250806272,430219264
13037.131,245399552,250658816,430219264
13145.423,245403648,250871808,430219264
13255.744,245403648,250826752,430219264
13366.323,245403648,250822656,430219264
13475.146,245403648,250834944,430219264
13584.120,245403648,250773504,430219264
13695.186,245403648,250896384,430219264
13821.301,245403648,250736640,430219264
13947.101,245403648,250896384,430219264
14074.137,245403648,250777600,430219264
14185.529,245403648,250888192,430219264
14295.876,245403648,250925056,430219264
14405.726,245403648,250777600,430219264
14514.699,245407744,250920960,430219264
14625.695,245407744,250953728,430219264
14735.074,245407744,250851328,430219264
14844.565,245407744,250880000,430219264
14956.032,245407744,250834944,430219264
15067.408,245407744,250916864,430219264
15177.397,245407744,250933248,430219264
15287.589,243609600,249008128,430219264
15397.181,243609600,249221120,430219264
15506.889,243609600,249098240,430219264
15615.029,243609600,249188352,430219264
15725.427,243609600,249192448,430219264
15833.181,243609600,249032704,430219264
15944.438,243609600,249167872,430219264
16071.227,243609600,249057280,430219264
16195.270,243609600,249155584,430219264
16321.435,243609600,249171968,430219264
16445.465,243609600,249028608,430219264
16568.754,242352128,247894016,430219264
16680.045,182136832,189669376,430219264
16805.466,168423424,169967616,430219264
16929.931,171220992,173309952,430219264
17053.562,180133888,182276096,430219264
17177.880,181813248,184328192,430219264
17286.060,181706752,184172544,430219264
17395.729,181706752,184184832,430219264
17503.794,188051456,187916288,430219264
17613.634,181817344,184303616,430219264
17722.652,181817344,184590336,430219264
17832.184,181841920,184586240,430219264
17940.725,181907456,184909824,430219264
18050.152,181907456,184942592,430219264
18158.794,181907456,184942592,430219264
18268.314,181907456,184922112,430219264
18379.104,182005760,185073664,430219264
18488.768,182005760,185081856,430219264
18598.942,181207040,184430592,430219264
18707.179,182018048,184655872,430219264
18817.323,182018048,184664064,430219264
18927.202,183746560,185905152,430219264
19037.139,182427648,185466880,430219264
19146.357,182427648,185470976,430219264
19255.202,183017472,186011648,430219264
19364.304,183681024,186691584,430219264
19472.274,183709696,186720256,430219264
19580.329,183709696,186638336,430219264
19690.062,183795712,186953728,430219264
19799.151,183795712,187064320,430219264
19908.130,183795712,187068416,430219264
20017.366,184393728,187613184,430219264
20127.616,184401920,187731968,430219264
20236.155,184401920,187744256,430219264
20345.287,184401920,187764736,430219264
20453.143,184401920,187785216,430219264
20563.966,184401920,187785216,430219264
20673.559,189210624,191688704,430219264
20781.293,185012224,188329984,430219264
20890.572,185012224,188338176,430219264
21000.670,185622528,188870656,430219264
21111.859,186195968,189493248,430219264
21219.660,186195968,189534208,430219264
21329.720,186195968,189546496,430219264
21438.293,186195968,189652992,430219264
21547.275,187133952,189677568,430219264
21656.309,187133952,189685760,430219264
21766.351,189239296,190889984,430219264
21876.424,217059328,222359552,430219264
21985.094,218845184,224182272,430219264
22093.610,57548800,60809216,430219264
22201.666,95244288,97804288,430219264
22311.156,85061632,87945216,430219264
22419.389,99323904,103813120,430219264
22528.784,99323904,104783872,430219264
22639.926,100134912,105578496,430219264
22750.034,100134912,105582592,430219264
22859.541,100134912,105631744,430219264
22968.975,100958208,106078208,430219264
23078.621,100958208,106065920,430219264
23188.099,100958208,106192896,430219264
23297.013,100958208,106184704,430219264
23404.393,100958208,106340352,430219264
23513.470,100958208,106196992,430219264
23622.713,100958208,106319872,430219264
23746.493,100958208,106479616,430219264
23871.654,100958208,106491904,430219264
23994.525,101781504,107335680,430219264
24119.179,101781504,107343872,430219264
24243.652,101781504,107618304,430219264
24367.059,101781504,107622400,430219264
24491.557,101781504,107610112,430219264
24615.477,101781504,107597824,430219264
24725.987,101781504,107601920,430219264
24849.708,101781504,107606016,430219264
24959.881,101781504,107610112,430219264
25069.993,102608896,108601344,430219264
25195.300,102608896,108650496,430219264
25320.772,103440384,108904448,430219264
25444.124,103440384,108920832,430219264
25569.373,103440384,108810240,430219264
25677.932,103440384,108765184,430219264
25786.552,103440384,108748800,430219264
25894.800,103440384,108810240,430219264
26002.259,103440384,108965888,430219264
26112.837,103440384,108818432,430219264
26222.725,103440384,108806144,430219264
26333.175,103440384,109035520,430219264
26441.244,103485440,109182976,430219264
26550.172,103485440,109047808,430219264
26661.158,171962368,181567488,430219264
26771.606,270856192,276561920,430219264
26882.147,297750528,302530560,430219264
27006.899,225927168,230367232,430219264
27117.505,101482496,101474304,430219264
27242.875,123502592,119693312,430219264
27365.293,114417664,114409472,430219264
27474.288,115355648,115507200,430219264
27585.323,147021824,147509248,430219264
27710.438,150999040,148803584,430219264
27836.259,150999040,148963328,430219264
27960.971,153001984,150581248,430219264
28084.854,153001984,150982656,430219264
28208.995,158556160,154091520,430219264
28317.986,154374144,152256512,430219264
28426.988,154374144,152391680,430219264
28537.206,155062272,152682496,430219264
28645.611,155062272,153079808,430219264
28754.559,155062272,152801280,430219264
28863.853,155783168,153370624,430219264
28973.819,155783168,153681920,430219264
29083.233,155783168,153374720,430219264
29192.021,156585984,154058752,430219264
29301.696,156585984,154578944,430219264
29411.421,156585984,154157056,430219264
29521.245,156585984,154419200,430219264
29631.217,156585984,154509312,430219264
29740.163,156585984,154165248,430219264
29849.171,156585984,154578944,430219264
29960.007,156585984,154583040,430219264
30069.517,156483584,154087424,430219264
30194.721,156483584,154509312,430219264
30319.626,158588928,155549696,430219264
30444.782,156483584,154480640,430219264
30570.977,156483584,154533888,430219264
30696.607,156483584,154107904,430219264
30823.306,156483584,154558464,430219264
30947.375,156483584,154120192,430219264
31071.843,156483584,154394624,430219264
31196.135,156483584,154587136,430219264
31319.150,156483584,154791936,430219264
31430.443,156483584,155058176,430219264
31555.121,156483584,154624000,430219264
31679.808,156483584,154939392,430219264
31807.259,156483584,154685440,430219264
31930.978,156483584,155066368,430219264
32055.455,156483584,155099136,430219264
32182.487,156483584,154681344,430219264
32307.167,156483584,155045888,430219264
32432.518,156483584,154710016,430219264
32558.468,156483584,155049984,430219264
32683.931,156483584,154681344,430219264
32809.928,156483584,155021312,430219264
32920.686,156483584,155070464,430219264
33031.277,156483584,154927104,430219264
33141.322,156483584,155291648,430219264
33251.318,156483584,155348992,430219264
33362.183,156483584,154927104,430219264
33472.291,156483584,155328512,430219264
33579.014,156483584,154984448,430219264
33689.411,156491776,155209728,430219264
33798.781,156491776,155303936,430219264
33908.649,156491776,155021312,430219264
34017.263,156491776,155299840,430219264
34126.671,156491776,155099136,430219264
34236.519,156491776,154992640,430219264
34347.166,156491776,155291648,430219264
34455.604,156491776,154943488,430219264
34564.677,156491776,155176960,430219264
34673.088,156491776,155340800,430219264
34782.577,156491776,154963968,430219264
34892.622,156491776,155271168,430219264
35001.601,156491776,155262976,430219264
35109.935,156491776,154914816,430219264
35219.601,156491776,155320320,430219264
35329.904,160698368,157224960,430219264
35439.253,156491776,155234304,430219264
35548.269,156491776,155303936,430219264
35656.886,156491776,155025408,430219264
35765.384,156491776,155369472,430219264
35875.922,156491776,155361280,430219264
35985.087,156602368,155295744,430219264
36094.486,156602368,155484160,430219264
36203.895,156602368,155238400,430219264
36314.955,156602368,155439104,430219264
36424.343,156602368,155553792,430219264
36533.126,156643328,155611136,430219264
36642.051,156696576,155709440,430219264
36754.458,156696576,155385856,430219264
36864.804,157769728,156844032,430219264
36975.068,227098624,233480192,430219264
37083.760,260886528,267399168,430219264
37193.893,385929216,387854336,430219264
37318.691,397877248,398319616,442425344
37443.948,355790848,350351360,442425344
37553.639,374026240,369164288,442425344
37663.232,293666816,297111552,442425344
37790.262,328486912,303398912,442425344
37913.895,261238784,266788864,442425344
38037.879,261238784,266838016,442425344
38146.385,261238784,266633216,442425344
38256.799,260198400,265777152,442425344
38364.817,260198400,265793536,442425344
38474.124,260198400,265547776,442425344
38585.232,260198400,265719808,442425344
38711.285,260198400,265515008,442425344
38835.325,260198400,265744384,442425344
38959.427,260198400,265752576,442425344
39067.993,164478976,170487808,442425344
39178.649,173887488,179404800,442425344
39302.049,173887488,179486720,442425344
39410.765,173887488,180629504,442425344
39519.650,174034944,180842496,442425344
39629.639,174034944,180858880,442425344
39738.443,174047232,180891648,442425344
39846.867,174190592,181190656,442425344
39956.615,174190592,181219328,442425344
40065.147,174223360,181026816,442425344
40174.626,175079424,181239808,442425344
40283.924,175079424,181260288,442425344
40391.867,175104000,181149696,442425344
40499.438,175173632,181420032,442425344
40608.535,175173632,181444608,442425344
40716.880,175173632,181264384,442425344
40827.058,175755264,181981184,442425344
40935.034,175755264,181985280,442425344
41059.578,175755264,181837824,442425344
41184.066,175804416,182063104,442425344
41294.651,175804416,182190080,442425344
41403.842,176447488,182562816,442425344
41528.503,176447488,182796288,442425344
41638.848,176447488,182697984,442425344
41748.188,176480256,182616064,442425344
41857.212,176529408,182865920,442425344
41981.132,178642944,184238080,442425344
42106.693,176578560,182943744,442425344
42230.387,176578560,182779904,442425344
42355.115,176586752,182767616,442425344
42480.060,176586752,183042048,442425344
42603.732,176586752,183046144,442425344
42728.807,176615424,182763520,442425344
42854.534,176615424,183001088,442425344
42978.706,176615424,182816768,442425344
43105.364,176635904,183046144,442425344
43229.227,176635904,183066624,442425344
43354.404,176635904,182931456,442425344
43478.826,176635904,183029760,442425344
43603.531,176635904,183054336,442425344
43727.662,176648192,183050240,442425344
43852.379,176648192,183062528,442425344
43978.651,176648192,182820864,442425344
44102.846,176648192,183029760,442425344
44226.315,176648192,182882304,442425344
44353.171,176648192,183046144,442425344
44477.194,176648192,183091200,442425344
44602.458,176648192,182820864,442425344
44725.982,176668672,183013376,442425344
44852.712,176668672,183091200,442425344
44978.480,176668672,183103488,442425344
45103.188,176668672,183144448,442425344
45226.357,176668672,182923264,442425344
45350.412,176668672,183132160,442425344
45458.096,176668672,183148544,442425344
45568.273,176680960,183078912,442425344
45677.588,176680960,183156736,442425344
45788.486,176701440,182874112,442425344
45915.193,177315840,183627776,442425344
46040.538,177315840,183648256,442425344
46166.471,177315840,183447552,442425344
46292.911,177344512,183664640,442425344
46404.635,177344512,183533568,442425344
46513.754,177344512,183705600,442425344
46623.513,177344512,183726080,442425344
46732.568,177348608,183713792,442425344
46843.007,177348608,183791616,442425344
46951.776,177348608,183820288,442425344
47074.431,177348608,183664640,442425344
47199.230,177954816,184348672,442425344
47323.221,177954816,184381440,442425344
47447.620,177979392,184377344,442425344
47571.476,177979392,184401920,442425344
47697.281,178212864,184696832,442425344
47823.944,180318208,186568704,442425344
47949.950,231051264,235687936,442425344
