elapsed_ms,private_bytes,working_set_bytes,os_peak_working_set_bytes
28.366,5726208,9211904,9211904
159.725,47603712,51085312,56983552
299.067,64028672,74006528,88076288
408.400,66498560,75796480,88985600
518.230,78385152,88743936,88985600
628.409,63098880,73965568,88985600
736.898,43569152,54009856,89415680
847.131,50728960,59854848,89415680
957.060,49410048,59273216,93974528
1067.596,79056896,89378816,93974528
1175.881,79269888,89415680,94031872
1284.332,64876544,73515008,94126080
1394.736,51400704,61358080,94855168
1503.383,55652352,63614976,95092736
1611.852,54095872,62169088,95092736
1737.031,79876096,90124288,95092736
1845.023,79499264,89755648,95268864
1954.801,79142912,89255936,95268864
2065.316,61157376,70742016,95453184
2174.657,61218816,68599808,95453184
2283.625,60444672,67002368,95453184
2392.658,58245120,64598016,95453184
2502.253,56635392,64724992,95473664
2612.586,52674560,63270912,95473664
2722.107,55152640,63889408,95473664
2831.028,51720192,62517248,95473664
2940.595,55898112,63819776,95555584
3049.697,67076096,76386304,95703040
3157.783,78663680,87486464,95703040
3267.497,61849600,70451200,95703040
3376.815,57790464,64466944,95703040
3484.773,80510976,90415104,95703040
3594.956,57950208,65617920,95797248
3703.331,61808640,72613888,95907840
3813.641,58384384,64057344,95907840
3922.427,54452224,63737856,96276480
4031.884,56782848,66088960,96276480
4140.275,54202368,63512576,96276480
4250.668,55762944,66121728,96276480
4359.737,54607872,65282048,96641024
4469.978,59072512,68239360,96641024
4580.181,56811520,66535424,96641024
4689.996,195309568,203304960,203304960
4799.763,310140928,315588608,315588608
4909.997,163495936,171180032,315613184
5020.229,148979712,156790784,315613184
5128.860,143278080,121073664,315613184
5239.347,122060800,118108160,315613184
5347.698,129343488,136249344,315613184
5457.574,109846528,118894592,315613184
5567.911,131649536,138629120,315613184
5677.655,137465856,143552512,315613184
5786.986,131252224,138137600,315613184
5896.286,92631040,101658624,315613184
6004.628,114597888,123871232,315613184
6115.613,134397952,141017088,315613184
6224.234,134602752,142471168,315613184
6333.448,136323072,144179200,315613184
6443.355,116494336,124133376,315613184
6553.913,134426624,142749696,315613184
6663.161,114216960,121950208,315613184
6771.095,135196672,143003648,315613184
6877.736,136228864,144019456,315613184
6988.178,136228864,144310272,315613184
7096.917,136093696,144551936,315613184
7205.293,89866240,99532800,315613184
7314.622,132104192,139116544,315613184
7424.689,136785920,144621568,315613184
7532.545,136794112,144498688,315613184
7641.628,136806400,145080320,315613184
7749.717,111652864,120152064,315613184
7876.366,136658944,143433728,315613184
7985.163,136658944,144584704,315613184
8095.109,136658944,144408576,315613184
8204.354,136712192,145006592,315613184
8313.147,132259840,138010624,315613184
8421.608,137596928,144572416,315613184
8544.395,137596928,145084416,315613184
8670.194,137646080,145809408,315613184
8793.267,129896448,136638464,315613184
8918.388,137265152,143904768,315613184
9043.727,138141696,144596992,315613184
9167.410,138260480,145166336,315613184
9292.818,138260480,145084416,315613184
9416.971,117436416,126386176,315613184
9540.506,136290304,143286272,315613184
9665.076,136441856,144261120,315613184
9790.530,136491008,144613376,315613184
9916.971,96088064,106004480,315613184
10040.835,136130560,140918784,315613184
10166.276,94298112,105013248,315613184
10293.868,136192000,140431360,315613184
10420.607,88166400,98402304,315613184
10544.001,136708096,141529088,315613184
10670.802,137175040,144130048,315613184
10794.333,137199616,144297984,315613184
10918.812,137285632,144969728,315613184
11043.599,137285632,144814080,315613184
11170.244,136290304,144453632,315613184
11280.340,137207808,144953344,315613184
11389.719,138129408,145924096,315613184
11500.023,138129408,145948672,315613184
11609.539,138137600,146153472,315613184
11719.443,138137600,146341888,315613184
11827.649,138137600,145965056,315613184
11937.581,138137600,146386944,315613184
12047.076,138137600,146075648,315613184
12156.147,138166272,146497536,315613184
12280.356,138170368,146460672,315613184
12404.138,139300864,146931712,315613184
12530.461,139300864,147312640,315613184
12653.836,139317248,147402752,315613184
12777.249,139329536,147701760,315613184
12903.999,139329536,147406848,315613184
13029.028,166494208,176615424,315613184
13153.793,146067456,156299264,315613184
13277.459,256962560,260907008,315613184
13403.410,365412352,367247360,367247360
13528.730,414248960,413327360,434151424
13654.912,348311552,341893120,434151424
13779.249,367468544,362250240,434151424
13901.677,257548288,260575232,434151424
14026.113,241545216,245657600,434151424
14150.880,240484352,245018624,434151424
14275.025,241627136,247386112,434151424
14400.418,244690944,250167296,434151424
14525.297,237830144,244072448,434151424
14649.765,238972928,244363264,434151424
14774.000,238972928,244596736,434151424
14901.067,237830144,244162560,434151424
15026.454,240988160,245460992,434151424
15150.384,237830144,244113408,434151424
15275.737,237830144,244178944,434151424
15400.090,237830144,244154368,434151424
15524.553,237830144,244203520,434151424
15649.543,237830144,244174848,434151424
15773.141,237830144,244195328,434151424
15881.847,237830144,244219904,434151424
15990.140,237830144,244183040,434151424
16099.535,237830144,244232192,434151424
16208.749,237830144,244277248,434151424
16317.992,237830144,244269056,434151424
16428.527,237830144,244277248,434151424
16537.502,238972928,244498432,434151424
16646.375,237830144,244293632,434151424
16756.773,237830144,244310016,434151424
16866.482,238972928,244346880,434151424
16974.203,237830144,244269056,434151424
17084.992,237830144,244350976,434151424
17194.855,237830144,244367360,434151424
17305.547,237830144,244191232,434151424
17430.548,237830144,244330496,434151424
17557.178,237830144,244334592,434151424
17681.529,237830144,244281344,434151424
17807.381,237830144,244322304,434151424
17932.107,237830144,244334592,434151424
18057.037,237830144,244264960,434151424
18181.218,237830144,244371456,434151424
18306.237,237830144,244391936,434151424
18432.130,237830144,244334592,434151424
18557.361,237830144,244404224,434151424
18681.592,237830144,244334592,434151424
18805.833,237830144,244391936,434151424
18932.711,237830144,244400128,434151424
19056.499,237830144,244342784,434151424
19180.362,237830144,244383744,434151424
19305.890,237830144,244391936,434151424
19431.744,237830144,244301824,434151424
19558.905,237830144,244396032,434151424
19684.342,237830144,244420608,434151424
19809.914,237830144,244375552,434151424
19935.370,237834240,244436992,434151424
20059.837,237834240,244445184,434151424
20186.277,237834240,244383744,434151424
20296.552,237834240,244416512,434151424
20405.424,237834240,244432896,434151424
20531.902,237834240,244375552,434151424
20639.916,237834240,244436992,434151424
20750.175,237834240,244441088,434151424
20859.493,239939584,246087680,434151424
20968.770,237834240,244449280,434151424
21080.062,238977024,244969472,434151424
21189.799,237834240,244465664,434151424
21299.907,237834240,244469760,434151424
21410.732,237834240,244477952,434151424
21519.901,237834240,244469760,434151424
21629.560,237834240,244482048,434151424
21737.233,237834240,244486144,434151424
21847.552,237834240,244441088,434151424
21956.495,237834240,244477952,434151424
22063.000,237834240,244490240,434151424
22172.154,237834240,244477952,434151424
22281.783,237834240,244490240,434151424
22391.847,237834240,244494336,434151424
22501.135,237834240,244387840,434151424
22611.274,237834240,244449280,434151424
22721.006,237834240,244477952,434151424
22829.398,237834240,244473856,434151424
22938.843,236785664,243462144,434151424
23049.475,236785664,243466240,434151424
23158.239,236785664,243458048,434151424
23265.471,236785664,243494912,434151424
23388.187,236785664,243507200,434151424
23513.225,236785664,243470336,434151424
23624.149,236793856,243499008,434151424
23734.578,236793856,243523584,434151424
23843.734,236793856,243519488,434151424
23953.215,236793856,243527680,434151424
24061.812,236793856,243535872,434151424
24172.716,236793856,243539968,434151424
24283.427,236793856,243499008,434151424
24390.405,236793856,243523584,434151424
24501.144,236793856,243523584,434151424
24610.193,236793856,243453952,434151424
24719.258,236793856,243515392,434151424
24829.701,236793856,243544064,434151424
24938.337,236793856,243499008,434151424
25061.459,241049600,247947264,434151424
25173.183,236843008,243818496,434151424
25282.187,70074368,74518528,434151424
25392.535,97931264,99946496,434151424
25501.559,88256512,94507008,434151424
25612.719,102903808,108933120,434151424
25723.362,104308736,110034944,434151424
25831.248,104308736,110112768,434151424
25939.888,103165952,109842432,434151424
26049.533,103165952,109858816,434151424
26159.715,105943040,112525312,434151424
26269.174,105943040,112369664,434151424
26376.974,105943040,112328704,434151424
26485.961,104800256,112304128,434151424
26596.229,106774528,114466816,434151424
26704.441,106774528,113831936,434151424
26813.387,106774528,113500160,434151424
26923.777,105631744,113324032,434151424
27034.282,105631744,113307648,434151424
27142.776,106774528,114450432,434151424
27252.638,106774528,114229248,434151424
27361.091,106774528,114475008,434151424
27472.419,105631744,113303552,434151424
27580.073,106774528,113754112,434151424
27688.478,106774528,114569216,434151424
27797.108,106774528,114569216,434151424
27907.278,105631744,113315840,434151424
28017.002,106774528,114204672,434151424
28125.710,106774528,113897472,434151424
28249.178,106774528,114585600,434151424
28374.240,105631744,114008064,434151424
28499.322,106774528,115277824,434151424
28609.623,106774528,115277824,434151424
28719.799,105631744,114135040,434151424
28828.936,107737088,116133888,434151424
28939.188,106774528,114761728,434151424
29047.970,106774528,114520064,434151424
29158.599,106774528,114692096,434151424
29266.644,105631744,114057216,434151424
29375.423,106774528,115326976,434151424
29483.913,106774528,114548736,434151424
29607.133,106774528,114950144,434151424
29732.618,105631744,114171904,434151424
29858.147,106774528,114565120,434151424
29982.741,106774528,115245056,434151424
30108.102,105529344,114262016,434151424
30232.937,105529344,114421760,434151424
30344.979,106672128,115576832,434151424
30453.222,106672128,115576832,434151424
30562.604,105529344,114434048,434151424
30672.534,105529344,114421760,434151424
30781.204,106672128,115503104,434151424
30891.444,106672128,115662848,434151424
31014.621,106672128,115662848,434151424
31125.399,105529344,114409472,434151424
31248.822,106672128,114540544,434151424
31372.723,106672128,114761728,434151424
31497.494,105529344,114536448,434151424
31623.884,106672128,115597312,434151424
31748.944,106672128,115597312,434151424
31859.164,106672128,114835456,434151424
31969.585,105529344,114450432,434151424
32079.423,106672128,114802688,434151424
32189.214,106672128,115138560,434151424
32298.685,106672128,114839552,434151424
