elapsed_ms,private_bytes,working_set_bytes,os_peak_working_set_bytes
26.770,1589248,4911104,4911104
166.133,37224448,41304064,57188352
290.303,61448192,71413760,71413760
414.651,78479360,88846336,88846336
541.454,50630656,61104128,88895488
667.978,45424640,53035008,89067520
777.721,43233280,53870592,89227264
887.405,45686784,57118720,93745152
996.474,51093504,59523072,93839360
1105.584,51908608,60198912,94658560
1215.892,51875840,60035072,94728192
1324.888,51372032,60583936,95080448
1435.943,55967744,63467520,95080448
1545.828,49471488,60190720,95080448
1655.017,50933760,59834368,95080448
1765.931,49627136,59944960,95080448
1874.551,49475584,59858944,95080448
1982.942,49909760,60497920,95080448
2094.458,50049024,60522496,95080448
2204.814,56770560,66011136,95092736
2313.099,58736640,68550656,95092736
2423.210,64364544,70021120,95240192
2533.158,51396608,61784064,95240192
2642.443,55824384,63217664,95240192
2751.092,51126272,61911040,95240192
2862.142,51585024,61878272,95240192
2972.899,52248576,61251584,95240192
3097.700,60260352,68415488,95240192
3209.323,66850816,74293248,95367168
3334.720,79785984,89542656,95367168
3458.881,80773120,90624000,95367168
3585.430,63893504,73408512,96100352
3711.273,180166656,188784640,188784640
3837.021,310439936,315408384,315408384
3962.718,162144256,169136128,315564032
4087.639,89448448,89415680,315564032
4212.934,144326656,129249280,315564032
4323.939,79712256,90071040,315564032
4432.677,129294336,136400896,315564032
4557.859,83935232,94040064,315564032
4667.744,132255744,138481664,315564032
4793.130,112754688,121241600,315564032
4902.537,131223552,137404416,315564032
5013.364,134275072,142950400,315564032
5122.940,101916672,110407680,315564032
5233.086,132141056,138436608,315564032
5343.265,133189632,140644352,315564032
5454.213,92463104,102211584,315564032
5563.345,113139712,122388480,315564032
5685.436,133218304,141975552,315564032
5795.992,88125440,99086336,315564032
5906.846,133005312,139116544,315564032
6017.810,134959104,143495168,315564032
6129.565,134959104,143675392,315564032
6254.997,135041024,144244736,315564032
6379.018,135081984,144142336,315564032
6488.362,135081984,144637952,315564032
6604.986,135704576,141443072,315564032
6720.874,133939200,142573568,315564032
6832.713,133947392,142573568,315564032
6942.727,133984256,143003648,315564032
7068.354,119119872,126783488,315564032
7193.875,132890624,142131200,315564032
7318.188,132927488,142143488,315564032
7444.028,133009408,142733312,315564032
7569.980,134033408,142835712,315564032
7697.059,113983488,123088896,315564032
7822.005,132845568,141348864,315564032
7946.721,133898240,142790656,315564032
8072.866,139132928,146546688,315564032
8196.033,134942720,143900672,315564032
8321.627,139182080,145702912,315564032
8432.864,135159808,144117760,315564032
8543.770,135159808,143921152,315564032
8654.734,135168000,144363520,315564032
8765.000,129695744,137256960,315564032
8874.690,133926912,142065664,315564032
8985.077,133943296,143048704,315564032
9096.112,134000640,143515648,315564032
9205.550,134029312,143417344,315564032
9316.040,135094272,144072704,315564032
9424.683,135094272,144347136,315564032
9535.350,135110656,144265216,315564032
9660.431,135110656,144293888,315564032
9786.366,136126464,145350656,315564032
9911.513,130301952,138190848,315564032
10036.903,134967296,142610432,315564032
10162.855,134967296,143777792,315564032
10288.821,135094272,144424960,315564032
10416.554,135122944,144003072,315564032
10539.877,133976064,143327232,315564032
10666.300,133976064,142884864,315564032
10776.808,133976064,143663104,315564032
10889.068,137097216,145096704,315564032
10996.416,135000064,144363520,315564032
11106.263,117727232,123387904,315564032
11217.015,135110656,141213696,315564032
11327.747,135897088,144732160,315564032
11436.650,135925760,144732160,315564032
11545.412,135925760,145076224,315564032
11654.494,137842688,147263488,315564032
11764.913,102326272,113074176,315564032
11874.887,250281984,255037440,315564032
11984.247,382300160,383569920,383569920
12097.024,382013440,381808640,433381376
12205.781,344096768,337719296,433381376
12316.892,329383936,332386304,433381376
12441.396,253345792,257028096,433381376
12550.278,253345792,257138688,433381376
12661.496,253345792,258924544,433381376
12786.431,253345792,258924544,433381376
12911.630,251813888,257654784,433381376
13037.729,251813888,257765376,433381376
13163.835,250130432,255815680,433381376
13287.437,249016320,254984192,433381376
13411.509,249016320,254889984,433381376
13535.992,249016320,255094784,433381376
13662.444,249016320,254984192,433381376
13788.636,249016320,255102976,433381376
13911.571,253231104,258789376,433381376
14036.702,249016320,255086592,433381376
14160.452,249016320,255021056,433381376
14270.810,249016320,255090688,433381376
14394.860,162336768,168239104,433381376
14519.119,170651648,176848896,433381376
14629.099,175927296,182226944,433381376
14739.174,176885760,182476800,433381376
14864.723,176898048,182788096,433381376
14990.201,176914432,183111680,433381376
15115.574,177147904,183361536,433381376
15241.068,177745920,183812096,433381376
15366.774,176693248,183726080,433381376
15491.432,176693248,183582720,433381376
15617.971,176635904,183672832,433381376
15743.137,176635904,183701504,433381376
15867.484,176660480,183779328,433381376
15993.590,176660480,183787520,433381376
16121.005,176668672,183689216,433381376
16245.779,177389568,183775232,433381376
16356.330,177389568,183721984,433381376
16466.374,177397760,183803904,433381376
16576.907,177397760,183836672,433381376
16687.468,177983488,184258560,433381376
16797.556,178024448,184393728,433381376
16907.332,178024448,184299520,433381376
17016.500,177741824,184107008,433381376
17125.295,177741824,184152064,433381376
17234.482,177770496,184094720,433381376
17344.876,177770496,184205312,433381376
17454.770,178360320,184692736,433381376
17565.548,178950144,185335808,433381376
17676.195,180101120,186298368,433381376
17802.809,178978816,185339904,433381376
17929.007,179040256,185487360,433381376
18054.132,179040256,185466880,433381376
18178.981,179048448,185516032,433381376
18303.178,179056640,185532416,433381376
18426.822,179089408,185602048,433381376
18552.527,179089408,185479168,433381376
18678.405,179089408,185585664,433381376
18803.396,179089408,185589760,433381376
18929.101,179089408,185602048,433381376
19055.061,179089408,185606144,433381376
19181.324,179122176,185569280,433381376
19292.986,179122176,185638912,433381376
19402.710,179122176,185622528,433381376
19511.920,179978240,185683968,433381376
19635.199,179986432,185663488,433381376
19745.221,180060160,185737216,433381376
19856.174,180060160,185749504,433381376
19965.744,180674560,186322944,433381376
20075.997,180674560,186359808,433381376
20186.470,184889344,189407232,433381376
20295.473,180183040,185942016,433381376
20403.656,180183040,185962496,433381376
20511.414,182009856,187392000,433381376
20620.708,182038528,187432960,433381376
20729.265,182038528,187383808,433381376
20853.918,182071296,187518976,433381376
20964.415,182071296,187551744,433381376
21075.326,192655360,199110656,433381376
21184.129,221966336,228691968,433381376
21294.254,81735680,87977984,433381376
21403.812,111489024,111521792,433381376
21515.767,86429696,95289344,433381376
21624.993,105701376,112128000,433381376
21733.617,106176512,113106944,433381376
21843.947,106176512,113418240,433381376
21954.207,106184704,113590272,433381376
22064.680,107171840,113659904,433381376
22174.644,108331008,115437568,433381376
22285.208,107188224,114192384,433381376
22395.018,107712512,114794496,433381376
22504.640,107720704,115212288,433381376
22629.362,107728896,115482624,433381376
22738.668,107728896,115400704,433381376
22865.904,107737088,115519488,433381376
22991.667,108896256,116658176,433381376
23116.617,107753472,115490816,433381376
23241.948,107753472,115490816,433381376
23366.209,108568576,116166656,433381376
23493.654,108568576,116199424,433381376
23619.613,108568576,116310016,433381376
23730.870,109543424,116342784,433381376
23841.210,110694400,117460992,433381376
23952.139,109543424,116269056,433381376
24061.436,109543424,116273152,433381376
24170.814,110350336,117108736,433381376
24279.829,111181824,117661696,433381376
24387.919,112332800,118611968,433381376
24498.207,111181824,117661696,433381376
24606.251,112242688,118370304,433381376
24715.569,111181824,118013952,433381376
24823.133,112066560,118034432,433381376
24934.545,113217536,119263232,433381376
25044.707,112066560,118059008,433381376
25154.607,112066560,118063104,433381376
25264.025,112066560,118218752,433381376
25374.699,112066560,118231040,433381376
25485.928,112066560,118218752,433381376
25595.718,112066560,118235136,433381376
25704.664,113217536,119455744,433381376
