elapsed_ms,private_bytes,working_set_bytes,os_peak_working_set_bytes
28.598,5533696,8970240,8970240
164.426,40394752,42074112,57016320
287.873,70860800,80584704,80584704
414.978,62242816,73097216,88834048
541.220,40902656,51884032,88834048
653.918,42004480,52375552,89108480
764.974,42250240,53747712,89108480
873.377,69623808,79212544,90279936
983.903,49078272,59162624,93732864
1092.097,50601984,59482112,94076928
1202.224,49913856,59396096,94687232
1311.820,52686848,60071936,94769152
1423.657,50966528,60661760,94769152
1534.045,62730240,70062080,94769152
1644.099,75231232,85139456,94826496
1768.763,79712256,89772032,94826496
1879.630,55431168,64512000,94945280
2004.920,48922624,59658240,94945280
2131.769,66035712,76054528,95072256
2256.913,63836160,73863168,95072256
2383.767,79912960,89845760,95129600
2510.993,82997248,91926528,95129600
2632.816,50515968,60690432,95166464
2757.025,49774592,60977152,95375360
2884.876,50028544,60542976,95375360
3010.671,71299072,80736256,95547392
3121.603,80125952,90296320,95547392
3231.560,80302080,90599424,95559680
3340.941,80662528,90832896,95559680
3452.265,82370560,91619328,95584256
3563.051,135057408,145252352,145252352
3671.687,264028160,271077376,271077376
3782.470,218501120,225079296,315777024
3893.444,215105536,220336128,315777024
4003.764,84918272,90243072,315777024
4112.673,106766336,112300032,315777024
4222.497,128778240,135188480,315777024
4333.126,101253120,105807872,315777024
4458.993,132067328,139915264,315777024
4585.131,114311168,123006976,315777024
4708.209,129634304,137424896,315777024
4835.351,131813376,141238272,315777024
4960.505,129806336,137961472,315777024
5085.673,130293760,139411456,315777024
5209.745,135401472,143560704,315777024
5334.878,131223552,140636160,315777024
5457.478,134041600,140222464,315777024
5583.459,131129344,140709888,315777024
5708.997,132866048,142012416,315777024
5834.839,133881856,142753792,315777024
5961.528,91779072,99037184,315777024
6088.391,116449280,125100032,315777024
6198.769,133173248,141553664,315777024
6308.749,133312512,142340096,315777024
6419.036,133328896,142041088,315777024
6530.220,133484544,142651392,315777024
6640.748,133857280,140619776,315777024
6751.404,133296128,141930496,315777024
6861.810,127512576,135147520,315777024
6971.276,132517888,141156352,315777024
7081.307,118431744,126234624,315777024
7192.103,133300224,141705216,315777024
7317.690,108122112,117055488,315777024
7443.108,131493888,140529664,315777024
7569.503,131506176,141041664,315777024
7695.610,133308416,142995456,315777024
7821.012,123404288,131522560,315777024
7948.133,133201920,141811712,315777024
8073.861,133226496,142286848,315777024
8185.190,133533696,143237120,315777024
8294.625,103600128,113434624,315777024
8403.031,131911680,138743808,315777024
8512.865,132444160,142008320,315777024
8621.440,133320704,142307328,315777024
8731.293,133361664,142942208,315777024
8841.800,133419008,142639104,315777024
8951.290,133431296,143089664,315777024
9061.439,134316032,143212544,315777024
9171.710,134352896,144035840,315777024
9282.600,136466432,145571840,315777024
9391.220,134361088,143896576,315777024
9501.509,134361088,143659008,315777024
9610.198,134365184,144048128,315777024
9720.014,134365184,143568896,315777024
9830.992,134496256,144052224,315777024
9942.193,134496256,143699968,315777024
10066.029,113528832,121843712,315777024
10177.144,121737216,130588672,315777024
10302.257,133386240,142643200,315777024
10428.052,133386240,142524416,315777024
10554.481,134303744,143376384,315777024
10679.697,134303744,143466496,315777024
10805.913,134336512,143884288,315777024
10929.271,135241728,144736256,315777024
11055.200,136351744,145936384,315777024
11179.209,136351744,145629184,315777024
11304.722,136351744,146059264,315777024
11432.821,137678848,147378176,315777024
11542.453,164642816,174858240,315777024
11651.446,234688512,239374336,315777024
11762.861,367951872,369745920,369745920
11871.943,419495936,418529280,433418240
11981.905,338673664,338776064,433418240
12091.986,366956544,361594880,433418240
12202.221,126418944,126734336,433418240
12311.325,180445184,155746304,433418240
12422.311,155451392,135512064,433418240
12530.887,170786816,152924160,433418240
12640.358,198959104,184520704,433418240
12749.963,199065600,184221696,433418240
12858.987,199065600,184401920,433418240
12968.695,200175616,187535360,433418240
13079.222,200192000,187830272,433418240
13190.092,200192000,187785216,433418240
13300.351,200814592,188477440,433418240
13410.833,200814592,188755968,433418240
13537.379,200839168,188764160,433418240
13662.174,200839168,188854272,433418240
13789.888,201441280,190660608,433418240
13912.720,201441280,190767104,433418240
14037.381,201981952,190500864,433418240
14161.843,201981952,190545920,433418240
14284.838,201981952,190791680,433418240
14407.110,201994240,190844928,433418240
14514.662,201994240,190779392,433418240
14625.629,202014720,191410176,433418240
14736.461,202014720,191430656,433418240
14846.494,202014720,191336448,433418240
14954.542,202014720,191479808,433418240
15065.462,202035200,191438848,433418240
15173.488,202043392,191516672,433418240
15281.478,202043392,191533056,433418240
15392.175,202051584,192012288,433418240
15503.377,203706368,192110592,433418240
15612.240,203706368,192114688,433418240
15725.003,202788864,191217664,433418240
15849.022,202801152,191287296,433418240
15972.240,202801152,191242240,433418240
16082.210,202801152,191303680,433418240
16192.602,202801152,191324160,433418240
16319.412,202801152,191311872,433418240
16446.135,202801152,191414272,433418240
16573.195,206159872,193818624,433418240
16696.634,204697600,192507904,433418240
16823.011,204697600,192552960,433418240
16933.714,204697600,192651264,433418240
17043.727,204697600,192663552,433418240
17154.003,204730368,192663552,433418240
17264.712,204730368,192716800,433418240
17374.655,204730368,192729088,433418240
17485.349,206000128,193298432,433418240
17594.855,206000128,193306624,433418240
17705.385,206000128,193396736,433418240
17815.153,206024704,193433600,433418240
17924.456,206024704,193441792,433418240
18034.447,206032896,193445888,433418240
18144.142,206032896,193449984,433418240
18255.098,206032896,193449984,433418240
18381.082,205611008,193069056,433418240
18507.397,205611008,193216512,433418240
18634.449,206413824,193277952,433418240
18758.925,206413824,193253376,433418240
18886.131,206413824,193282048,433418240
19011.280,206413824,193265664,433418240
19120.352,206413824,193269760,433418240
19229.530,206413824,193277952,433418240
19338.872,206413824,193269760,433418240
19464.124,206413824,193302528,433418240
19573.921,206413824,193290240,433418240
19683.319,206422016,193335296,433418240
19792.819,206422016,193339392,433418240
19903.067,208347136,194654208,433418240
20013.432,208371712,194859008,433418240
20124.799,208371712,195117056,433418240
20235.460,209051648,195751936,433418240
20343.341,209051648,195751936,433418240
20453.833,209051648,195747840,433418240
20563.413,209051648,195772416,433418240
20674.325,209051648,195780608,433418240
20783.987,209018880,195698688,433418240
20894.833,209018880,195735552,433418240
