elapsed_ms,private_bytes,working_set_bytes,os_peak_working_set_bytes
29.244,5967872,9441280,9441280
162.352,33755136,38281216,56971264
285.858,59215872,69349376,71106560
394.673,76939264,87425024,88743936
504.728,79503360,89858048,89858048
615.483,69734400,79278080,89858048
724.095,46026752,55492608,90513408
834.788,46915584,58384384,90820608
960.377,75206656,85360640,95330304
1083.236,82763776,92770304,95526912
1192.650,53731328,61161472,96530432
1300.847,55992320,64655360,96854016
1410.078,57905152,63651840,96878592
1519.691,58990592,68165632,97185792
1630.299,62283776,72015872,97185792
1740.740,76374016,86835200,97214464
1852.239,83849216,93507584,97312768
1977.613,57974784,65495040,98693120
2103.166,55541760,64921600,98693120
2230.101,68845568,76013568,99332096
2354.463,81530880,91455488,99332096
2477.912,84209664,94363648,99332096
2603.033,79036416,89489408,99954688
2727.525,61718528,68042752,100241408
2852.853,71159808,81653760,100241408
2977.349,78864384,89518080,100716544
3103.361,67235840,78139392,101126144
3228.559,81203200,88203264,101126144
3354.302,153858048,163258368,163258368
3480.582,310951936,316035072,316035072
3605.738,170483712,176308224,320831488
3730.381,77352960,84226048,320831488
3856.443,102817792,96948224,320831488
3980.840,128131072,132911104,320831488
4107.783,103723008,106655744,320831488
4231.695,139177984,142733312,320831488
4356.635,114356224,123121664,320831488
4467.728,137158656,141488128,320831488
4576.823,116277248,120754176,320831488
4687.055,133804032,139091968,320831488
4797.477,135786496,141729792,320831488
4908.688,134602752,139796480,320831488
5016.366,137338880,143888384,320831488
5130.203,134152192,140034048,320831488
5240.240,136450048,142200832,320831488
5350.100,136511488,144769024,320831488
5461.432,105033728,112709632,320831488
5588.392,140324864,148066304,320831488
5715.039,136667136,145473536,320831488
5841.530,138747904,147075072,320831488
5952.165,104521728,112672768,320831488
6062.122,138653696,145084416,320831488
6173.105,138653696,146509824,320831488
6283.010,138825728,146583552,320831488
6395.152,93052928,103333888,320831488
6503.662,135733248,142598144,320831488
6614.192,136753152,145051648,320831488
6723.554,137728000,145682432,320831488
6833.528,94015488,103604224,320831488
6944.642,133558272,140914688,320831488
7071.181,136572928,145072128,320831488
7196.591,136675328,145678336,320831488
7323.218,133480448,140636160,320831488
7448.724,138682368,146669568,320831488
7576.216,140795904,148041728,320831488
7686.869,138698752,147578880,320831488
7795.990,142909440,150282240,320831488
7907.290,116879360,125689856,320831488
8016.178,136417280,144977920,320831488
8125.407,137428992,146251776,320831488
8236.520,137457664,146169856,320831488
8346.508,138395648,146989056,320831488
8455.370,136036352,142868480,320831488
8566.776,139354112,146333696,320831488
8676.889,139354112,146907136,320831488
8787.653,139362304,147562496,320831488
8898.276,139362304,147460096,320831488
9024.470,139370496,147886080,320831488
9149.646,139370496,147673088,320831488
9274.004,139378688,148140032,320831488
9399.563,139399168,148176896,320831488
9522.698,139399168,148094976,320831488
9632.195,140365824,148676608,320831488
9759.404,140365824,148570112,320831488
9885.121,140386304,148918272,320831488
10011.894,140386304,148537344,320831488
10137.182,140394496,149020672,320831488
10262.887,140484608,149245952,320831488
10388.756,98250752,107937792,320831488
10497.988,137502720,144580608,320831488
10607.395,138964992,147148800,320831488
10718.082,140193792,148406272,320831488
10827.990,165961728,176001024,320831488
10938.901,246779904,249610240,320831488
11048.039,379101184,380088320,380088320
11159.548,401223680,400125952,438988800
11269.180,351432704,344289280,438988800
11379.488,362475520,356679680,438988800
11488.423,273842176,276307968,438988800
11598.879,326983680,301776896,438988800
11705.551,259735552,264351744,438988800
11815.782,259735552,264974336,438988800
11926.441,258658304,264122368,438988800
12035.924,259801088,265318400,438988800
12145.693,258658304,263880704,438988800
12255.478,255553536,261152768,438988800
12366.498,255553536,261234688,438988800
12493.831,255553536,261230592,438988800
12618.219,255553536,261300224,438988800
12742.813,255553536,261308416,438988800
12867.787,255553536,261328896,438988800
12992.604,255553536,261328896,438988800
13117.566,255553536,261337088,438988800
13243.866,255553536,261349376,438988800
13368.057,255553536,261341184,438988800
13494.797,255553536,261378048,438988800
13622.668,255553536,261353472,438988800
13732.408,255561728,261427200,438988800
13842.702,255561728,261234688,438988800
13953.919,255561728,261378048,438988800
14062.998,255561728,261394432,438988800
14171.237,255561728,261365760,438988800
14281.208,255561728,261435392,438988800
14391.114,255561728,261345280,438988800
14501.967,255561728,261419008,438988800
14612.366,255561728,261386240,438988800
14722.546,255561728,261443584,438988800
14832.391,255561728,261459968,438988800
14942.178,255569920,261439488,438988800
15053.252,255569920,261451776,438988800
15163.788,255569920,261382144,438988800
15288.228,253726720,260059136,438988800
15415.416,253726720,259964928,438988800
15539.931,253726720,260038656,438988800
15665.643,253726720,260022272,438988800
15793.063,253726720,260231168,438988800
15918.471,253726720,260214784,438988800
16044.081,253726720,260263936,438988800
16170.481,253726720,260227072,438988800
16294.799,253726720,260284416,438988800
16406.423,253726720,260263936,438988800
16516.824,253726720,260313088,438988800
16627.201,253726720,260317184,438988800
16736.927,253726720,260321280,438988800
16848.726,136171520,143777792,438988800
16958.127,166903808,173490176,438988800
17068.058,183332864,189554688,438988800
17178.329,183508992,190771200,438988800
17289.489,184143872,191459328,438988800
17416.378,184152064,191815680,438988800
17542.608,184799232,192442368,438988800
17666.684,184836096,192438272,438988800
17790.768,185749504,192532480,438988800
17917.951,185749504,192536576,438988800
18042.804,185757696,192831488,438988800
18168.543,185757696,192815104,438988800
18294.106,185765888,192835584,438988800
18405.578,185765888,192790528,438988800
18514.049,186384384,193376256,438988800
18626.140,186388480,193392640,438988800
18735.400,187621376,194306048,438988800
18844.208,187621376,194314240,438988800
18952.992,187621376,194674688,438988800
19062.690,187637760,194744320,438988800
19171.591,187645952,194715648,438988800
19284.023,187670528,194789376,438988800
19393.565,187674624,194826240,438988800
19503.373,188403712,195792896,438988800
19613.049,231575552,237346816,438988800
19724.533,84639744,86839296,438988800
19834.723,82812928,85946368,438988800
19944.719,102690816,108761088,438988800
20071.345,106811392,113905664,438988800
20196.869,106811392,115085312,438988800
20321.884,106811392,115126272,438988800
20446.499,106811392,115404800,438988800
20570.980,106831872,115736576,438988800
20695.201,107745280,116006912,438988800
20822.092,107745280,116535296,438988800
20948.168,107745280,116662272,438988800
21075.059,108609536,117579776,438988800
21198.618,109473792,118280192,438988800
21325.007,109473792,118206464,438988800
21451.183,109473792,118308864,438988800
21561.179,109473792,118534144,438988800
21671.879,110616576,119631872,438988800
21782.710,110616576,120049664,438988800
21892.599,109473792,118833152,438988800
22003.104,109539328,119476224,438988800
22112.708,109539328,119500800,438988800
22223.071,113745920,122134528,438988800
22334.007,109539328,119529472,438988800
22443.958,109539328,119541760,438988800
22553.830,109539328,119635968,438988800
