elapsed_ms,private_bytes,working_set_bytes,os_peak_working_set_bytes
35.019,1183744,2609152,2609152
172.639,36429824,40759296,57184256
296.490,61882368,71589888,71589888
420.780,78991360,89280512,89280512
544.007,69808128,80801792,89595904
667.490,68947968,77725696,89595904
776.634,79843328,90120192,90120192
885.544,78348288,87179264,90247168
996.515,54923264,64655360,94937088
1104.064,51367936,60841984,95133696
1214.086,50438144,61202432,96219136
1323.611,51286016,61980672,96219136
1432.470,53063680,62951424,96575488
1540.465,51527680,62332928,96575488
1650.783,50704384,62107648,96903168
1758.293,52658176,63401984,96903168
1868.869,58040320,64962560,97140736
1979.465,61038592,66859008,97140736
2089.130,66879488,73015296,97980416
2199.398,64344064,74772480,97980416
2307.627,63762432,72912896,98250752
2417.163,73519104,83357696,98717696
2527.638,83111936,92876800,98979840
2636.905,84013056,94179328,98979840
2747.410,56373248,66908160,99450880
2873.369,55304192,66088960,99450880
2999.287,80723968,90771456,99627008
3125.778,62132224,69029888,100200448
3251.476,59584512,69505024,101015552
3376.570,75202560,78602240,101015552
3501.067,113287168,123785216,123785216
3626.013,259686400,266448896,266448896
3751.394,187432960,195514368,320905216
3877.271,138846208,148135936,320905216
4002.696,120885248,124674048,320905216
4114.208,82657280,93065216,320905216
4223.663,91090944,97591296,320905216
4346.990,99852288,108834816,320905216
4471.362,101703680,105373696,320905216
4595.351,100683776,109150208,320905216
4723.601,135135232,140705792,320905216
4832.506,89772032,100245504,320905216
4941.504,133804032,139657216,320905216
5066.245,135233536,142491648,320905216
5190.812,135348224,143138816,320905216
5316.022,134025216,139792384,320905216
5425.318,136859648,143187968,320905216
5550.362,133705728,139628544,320905216
5661.684,135991296,143466496,320905216
5770.916,139849728,145842176,320905216
5879.174,137801728,144990208,320905216
5990.123,139681792,146546688,320905216
6098.574,102785024,112111616,320905216
6209.643,139317248,145354752,320905216
6320.416,139558912,146415616,320905216
6429.977,139558912,146157568,320905216
6540.457,139649024,147197952,320905216
6650.332,139649024,147423232,320905216
6761.414,140603392,147775488,320905216
6869.629,140603392,147865600,320905216
6979.464,140623872,147865600,320905216
7089.051,90509312,101068800,320905216
7199.033,135905280,140877824,320905216
7309.218,138293248,145195008,320905216
7419.699,140177408,147140608,320905216
7544.276,140185600,147623936,320905216
7669.526,140185600,147308544,320905216
7795.372,142483456,149204992,320905216
7921.970,142508032,148828160,320905216
8045.030,100556800,109375488,320905216
8172.333,140988416,146141184,320905216
8296.678,140988416,147927040,320905216
8423.191,141000704,148504576,320905216
8547.107,137396224,143065088,320905216
8673.168,140124160,147202048,320905216
8795.739,140972032,147668992,320905216
8918.717,140988416,148246528,320905216
9028.604,140988416,147906560,320905216
9152.518,140996608,148471808,320905216
9263.312,141021184,148643840,320905216
9388.820,141021184,148963328,320905216
9515.025,141070336,148869120,320905216
9640.874,111046656,119791616,320905216
9766.385,140910592,147099648,320905216
9892.222,140910592,147927040,320905216
10018.176,141950976,149086208,320905216
10145.840,141950976,149024768,320905216
10254.724,141963264,149487616,320905216
10377.779,141963264,149151744,320905216
10502.185,141975552,149557248,320905216
10628.874,142041088,149368832,320905216
10739.226,142041088,149786624,320905216
10849.210,142049280,149397504,320905216
10958.771,142049280,149782528,320905216
11068.386,142180352,149782528,320905216
11178.215,141893632,150581248,320905216
11287.925,211689472,214437888,320905216
11396.208,341336064,343707648,343707648
11507.231,440221696,438497280,438497280
11618.856,334405632,335282176,438505472
11730.124,366432256,360546304,438505472
11839.308,261087232,262008832,438505472
11948.905,268877824,263954432,438505472
12057.517,243654656,248545280,438505472
12166.554,244797440,250101760,438505472
12276.029,243654656,249032704,438505472
12386.510,238493696,244232192,438505472
12496.485,238493696,244326400,438505472
12606.229,238493696,244117504,438505472
12730.943,238493696,244289536,438505472
12842.302,238493696,244281344,438505472
12965.484,238493696,244453376,438505472
13091.549,242700288,247357440,438505472
13217.167,238493696,244510720,438505472
13342.619,238493696,244420608,438505472
13467.739,237424640,243855360,438505472
13595.597,237424640,243814400,438505472
13718.917,237424640,243843072,438505472
13843.339,237424640,243806208,438505472
13969.318,237424640,243888128,438505472
14095.898,237424640,243769344,438505472
14221.922,237424640,243888128,438505472
14346.246,237424640,243642368,438505472
14473.436,236359680,242749440,438505472
14582.889,236359680,242638848,438505472
14692.987,236359680,242749440,438505472
14803.763,236359680,242749440,438505472
14913.296,236359680,242634752,438505472
15022.295,236359680,242728960,438505472
15132.345,240566272,244994048,438505472
15242.702,236359680,242737152,438505472
15352.948,236359680,242651136,438505472
15463.557,236359680,242733056,438505472
15573.772,236359680,242745344,438505472
15683.553,236359680,242663424,438505472
15794.127,235319296,241766400,438505472
15920.155,235319296,241631232,438505472
16045.164,235319296,241758208,438505472
16170.039,235319296,241684480,438505472
16296.702,235319296,241840128,438505472
16423.845,235319296,241762304,438505472
16548.496,235319296,241848320,438505472
16674.020,235319296,241864704,438505472
16798.344,235319296,241811456,438505472
16923.338,140238848,148054016,438505472
17048.354,170557440,176652288,438505472
17174.214,176742400,183255040,438505472
17299.224,177393664,184524800,438505472
17423.980,177393664,184606720,438505472
17550.034,133226496,141717504,438505472
17661.486,159092736,167043072,438505472
17771.571,175771648,182784000,438505472
17881.845,176467968,183463936,438505472
17991.928,176467968,183484416,438505472
18100.723,178368512,185573376,438505472
18211.045,179535872,186331136,438505472
18319.955,179015680,186486784,438505472
18429.541,179060736,186626048,438505472
18539.906,179068928,186634240,438505472
18649.275,179109888,186687488,438505472
18759.230,179109888,186695680,438505472
18869.354,179118080,186671104,438505472
18977.416,179154944,186753024,438505472
19086.459,179154944,186662912,438505472
19196.395,180006912,186798080,438505472
19304.446,180011008,186851328,438505472
19413.592,180756480,186896384,438505472
19521.971,180756480,186998784,438505472
19630.810,182042624,188133376,438505472
19741.505,182071296,188248064,438505472
19851.636,182071296,188207104,438505472
19958.935,182079488,188317696,438505472
20067.509,182079488,188350464,438505472
20178.256,182730752,188829696,438505472
20286.059,240807936,240033792,438505472
20397.288,71065600,74547200,438505472
20504.428,81530880,84512768,438505472
20614.386,90202112,93888512,438505472
20723.120,103489536,108703744,438505472
20832.988,108015616,113582080,438505472
20942.192,106737664,113254400,438505472
21052.644,106737664,113332224,438505472
21160.069,106737664,113369088,438505472
21272.006,108412928,115376128,438505472
