
running 1 test
test performance::s08_daily_subsystem_diagnosis ... S08 diagnostic day 1/31: 29 Oct 1995 -> 30 Oct 1995, observed 361.104 ms, normal 353.670 ms, exact world
S08 diagnostic day 2/31: 30 Oct 1995 -> 31 Oct 1995, observed 346.268 ms, normal 333.384 ms, exact world
S08 diagnostic day 3/31: 31 Oct 1995 -> 1 Nov 1995, observed 381.275 ms, normal 368.142 ms, exact world
S08 diagnostic day 4/31: 1 Nov 1995 -> 2 Nov 1995, observed 172.513 ms, normal 164.218 ms, exact world
S08 diagnostic day 5/31: 2 Nov 1995 -> 3 Nov 1995, observed 126.020 ms, normal 123.821 ms, exact world
S08 diagnostic day 6/31: 3 Nov 1995 -> 4 Nov 1995, observed 123.833 ms, normal 146.495 ms, exact world
S08 diagnostic day 7/31: 4 Nov 1995 -> 5 Nov 1995, observed 144.842 ms, normal 141.415 ms, exact world
S08 diagnostic day 8/31: 5 Nov 1995 -> 6 Nov 1995, observed 127.329 ms, normal 135.127 ms, exact world
S08 diagnostic day 9/31: 6 Nov 1995 -> 7 Nov 1995, observed 135.810 ms, normal 136.434 ms, exact world
S08 diagnostic day 10/31: 7 Nov 1995 -> 8 Nov 1995, observed 131.881 ms, normal 138.844 ms, exact world
S08 diagnostic day 11/31: 8 Nov 1995 -> 9 Nov 1995, observed 156.850 ms, normal 155.380 ms, exact world
S08 diagnostic day 12/31: 9 Nov 1995 -> 10 Nov 1995, observed 157.218 ms, normal 160.346 ms, exact world
S08 diagnostic day 13/31: 10 Nov 1995 -> 11 Nov 1995, observed 196.221 ms, normal 189.285 ms, exact world
S08 diagnostic day 14/31: 11 Nov 1995 -> 12 Nov 1995, observed 166.192 ms, normal 143.898 ms, exact world
S08 diagnostic day 15/31: 12 Nov 1995 -> 13 Nov 1995, observed 174.611 ms, normal 164.447 ms, exact world
S08 diagnostic day 16/31: 13 Nov 1995 -> 14 Nov 1995, observed 179.233 ms, normal 184.285 ms, exact world
S08 diagnostic day 17/31: 14 Nov 1995 -> 15 Nov 1995, observed 267.049 ms, normal 264.149 ms, exact world
S08 diagnostic day 18/31: 15 Nov 1995 -> 16 Nov 1995, observed 266.579 ms, normal 254.420 ms, exact world
S08 diagnostic day 19/31: 16 Nov 1995 -> 17 Nov 1995, observed 273.653 ms, normal 263.308 ms, exact world
S08 diagnostic day 20/31: 17 Nov 1995 -> 18 Nov 1995, observed 286.484 ms, normal 277.706 ms, exact world
S08 diagnostic day 21/31: 18 Nov 1995 -> 19 Nov 1995, observed 266.589 ms, normal 275.552 ms, exact world
S08 diagnostic day 22/31: 19 Nov 1995 -> 20 Nov 1995, observed 309.374 ms, normal 315.715 ms, exact world
S08 diagnostic day 23/31: 20 Nov 1995 -> 21 Nov 1995, observed 346.600 ms, normal 292.530 ms, exact world
S08 diagnostic day 24/31: 21 Nov 1995 -> 22 Nov 1995, observed 293.592 ms, normal 297.902 ms, exact world
S08 diagnostic day 25/31: 22 Nov 1995 -> 23 Nov 1995, observed 322.609 ms, normal 320.372 ms, exact world
S08 diagnostic day 26/31: 23 Nov 1995 -> 24 Nov 1995, observed 306.267 ms, normal 316.035 ms, exact world
S08 diagnostic day 27/31: 24 Nov 1995 -> 25 Nov 1995, observed 308.681 ms, normal 312.808 ms, exact world
S08 diagnostic day 28/31: 25 Nov 1995 -> 26 Nov 1995, observed 308.551 ms, normal 311.112 ms, exact world
S08 diagnostic day 29/31: 26 Nov 1995 -> 27 Nov 1995, observed 342.588 ms, normal 294.604 ms, exact world
S08 diagnostic day 30/31: 27 Nov 1995 -> 28 Nov 1995, observed 546.451 ms, normal 580.910 ms, exact world
S08 diagnostic day 31/31: 28 Nov 1995 -> 29 Nov 1995, observed 315.997 ms, normal 306.088 ms, exact world
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 347 filtered out; finished in 46.67s

