
running 1 test
test performance::s08_daily_subsystem_diagnosis ... S08 diagnostic day 1/31: 29 Oct 1995 -> 30 Oct 1995, observed 850.285 ms, normal 896.669 ms, exact world
S08 diagnostic day 2/31: 30 Oct 1995 -> 31 Oct 1995, observed 864.928 ms, normal 902.731 ms, exact world
S08 diagnostic day 3/31: 31 Oct 1995 -> 1 Nov 1995, observed 1277.938 ms, normal 1257.499 ms, exact world
S08 diagnostic day 4/31: 1 Nov 1995 -> 2 Nov 1995, observed 441.017 ms, normal 542.643 ms, exact world
S08 diagnostic day 5/31: 2 Nov 1995 -> 3 Nov 1995, observed 317.839 ms, normal 325.719 ms, exact world
S08 diagnostic day 6/31: 3 Nov 1995 -> 4 Nov 1995, observed 323.963 ms, normal 307.805 ms, exact world
S08 diagnostic day 7/31: 4 Nov 1995 -> 5 Nov 1995, observed 297.634 ms, normal 267.754 ms, exact world
S08 diagnostic day 8/31: 5 Nov 1995 -> 6 Nov 1995, observed 266.080 ms, normal 261.817 ms, exact world
S08 diagnostic day 9/31: 6 Nov 1995 -> 7 Nov 1995, observed 371.740 ms, normal 375.683 ms, exact world
S08 diagnostic day 10/31: 7 Nov 1995 -> 8 Nov 1995, observed 248.683 ms, normal 247.541 ms, exact world
S08 diagnostic day 11/31: 8 Nov 1995 -> 9 Nov 1995, observed 263.036 ms, normal 259.334 ms, exact world
S08 diagnostic day 12/31: 9 Nov 1995 -> 10 Nov 1995, observed 264.881 ms, normal 264.191 ms, exact world
S08 diagnostic day 13/31: 10 Nov 1995 -> 11 Nov 1995, observed 361.396 ms, normal 387.885 ms, exact world
S08 diagnostic day 14/31: 11 Nov 1995 -> 12 Nov 1995, observed 342.320 ms, normal 324.246 ms, exact world
S08 diagnostic day 15/31: 12 Nov 1995 -> 13 Nov 1995, observed 326.270 ms, normal 353.969 ms, exact world
S08 diagnostic day 16/31: 13 Nov 1995 -> 14 Nov 1995, observed 375.690 ms, normal 362.039 ms, exact world
S08 diagnostic day 17/31: 14 Nov 1995 -> 15 Nov 1995, observed 806.628 ms, normal 839.814 ms, exact world
S08 diagnostic day 18/31: 15 Nov 1995 -> 16 Nov 1995, observed 828.558 ms, normal 813.209 ms, exact world
S08 diagnostic day 19/31: 16 Nov 1995 -> 17 Nov 1995, observed 500.345 ms, normal 463.647 ms, exact world
S08 diagnostic day 20/31: 17 Nov 1995 -> 18 Nov 1995, observed 487.771 ms, normal 514.554 ms, exact world
S08 diagnostic day 21/31: 18 Nov 1995 -> 19 Nov 1995, observed 490.899 ms, normal 515.667 ms, exact world
S08 diagnostic day 22/31: 19 Nov 1995 -> 20 Nov 1995, observed 511.254 ms, normal 478.065 ms, exact world
S08 diagnostic day 23/31: 20 Nov 1995 -> 21 Nov 1995, observed 455.781 ms, normal 506.894 ms, exact world
S08 diagnostic day 24/31: 21 Nov 1995 -> 22 Nov 1995, observed 432.791 ms, normal 431.054 ms, exact world
S08 diagnostic day 25/31: 22 Nov 1995 -> 23 Nov 1995, observed 489.245 ms, normal 496.607 ms, exact world
S08 diagnostic day 26/31: 23 Nov 1995 -> 24 Nov 1995, observed 582.514 ms, normal 522.396 ms, exact world
S08 diagnostic day 27/31: 24 Nov 1995 -> 25 Nov 1995, observed 571.767 ms, normal 549.238 ms, exact world
S08 diagnostic day 28/31: 25 Nov 1995 -> 26 Nov 1995, observed 591.442 ms, normal 583.806 ms, exact world
S08 diagnostic day 29/31: 26 Nov 1995 -> 27 Nov 1995, observed 552.505 ms, normal 549.428 ms, exact world
S08 diagnostic day 30/31: 27 Nov 1995 -> 28 Nov 1995, observed 3297.456 ms, normal 3323.587 ms, exact world
S08 diagnostic day 31/31: 28 Nov 1995 -> 29 Nov 1995, observed 637.446 ms, normal 636.673 ms, exact world
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 345 filtered out; finished in 63.57s

