
running 1 test
test performance::s08_daily_subsystem_diagnosis ... S08 diagnostic day 1/31: 29 Oct 1995 -> 30 Oct 1995, observed 435.587 ms, normal 450.168 ms, exact world
S08 diagnostic day 2/31: 30 Oct 1995 -> 31 Oct 1995, observed 451.312 ms, normal 475.024 ms, exact world
S08 diagnostic day 3/31: 31 Oct 1995 -> 1 Nov 1995, observed 589.154 ms, normal 591.032 ms, exact world
S08 diagnostic day 4/31: 1 Nov 1995 -> 2 Nov 1995, observed 403.338 ms, normal 389.038 ms, exact world
S08 diagnostic day 5/31: 2 Nov 1995 -> 3 Nov 1995, observed 182.996 ms, normal 178.333 ms, exact world
S08 diagnostic day 6/31: 3 Nov 1995 -> 4 Nov 1995, observed 183.055 ms, normal 180.320 ms, exact world
S08 diagnostic day 7/31: 4 Nov 1995 -> 5 Nov 1995, observed 185.310 ms, normal 205.525 ms, exact world
S08 diagnostic day 8/31: 5 Nov 1995 -> 6 Nov 1995, observed 191.412 ms, normal 180.971 ms, exact world
S08 diagnostic day 9/31: 6 Nov 1995 -> 7 Nov 1995, observed 336.305 ms, normal 335.022 ms, exact world
S08 diagnostic day 10/31: 7 Nov 1995 -> 8 Nov 1995, observed 197.224 ms, normal 194.520 ms, exact world
S08 diagnostic day 11/31: 8 Nov 1995 -> 9 Nov 1995, observed 230.143 ms, normal 227.186 ms, exact world
S08 diagnostic day 12/31: 9 Nov 1995 -> 10 Nov 1995, observed 231.095 ms, normal 241.422 ms, exact world
S08 diagnostic day 13/31: 10 Nov 1995 -> 11 Nov 1995, observed 268.598 ms, normal 270.772 ms, exact world
S08 diagnostic day 14/31: 11 Nov 1995 -> 12 Nov 1995, observed 193.780 ms, normal 194.253 ms, exact world
S08 diagnostic day 15/31: 12 Nov 1995 -> 13 Nov 1995, observed 201.810 ms, normal 207.576 ms, exact world
S08 diagnostic day 16/31: 13 Nov 1995 -> 14 Nov 1995, observed 238.493 ms, normal 258.520 ms, exact world
S08 diagnostic day 17/31: 14 Nov 1995 -> 15 Nov 1995, observed 420.588 ms, normal 414.674 ms, exact world
S08 diagnostic day 18/31: 15 Nov 1995 -> 16 Nov 1995, observed 417.054 ms, normal 420.520 ms, exact world
S08 diagnostic day 19/31: 16 Nov 1995 -> 17 Nov 1995, observed 389.348 ms, normal 397.473 ms, exact world
S08 diagnostic day 20/31: 17 Nov 1995 -> 18 Nov 1995, observed 478.763 ms, normal 456.236 ms, exact world
S08 diagnostic day 21/31: 18 Nov 1995 -> 19 Nov 1995, observed 470.579 ms, normal 455.859 ms, exact world
S08 diagnostic day 22/31: 19 Nov 1995 -> 20 Nov 1995, observed 524.231 ms, normal 499.404 ms, exact world
S08 diagnostic day 23/31: 20 Nov 1995 -> 21 Nov 1995, observed 453.218 ms, normal 465.103 ms, exact world
S08 diagnostic day 24/31: 21 Nov 1995 -> 22 Nov 1995, observed 482.454 ms, normal 489.661 ms, exact world
S08 diagnostic day 25/31: 22 Nov 1995 -> 23 Nov 1995, observed 634.747 ms, normal 548.029 ms, exact world
S08 diagnostic day 26/31: 23 Nov 1995 -> 24 Nov 1995, observed 587.581 ms, normal 565.500 ms, exact world
S08 diagnostic day 27/31: 24 Nov 1995 -> 25 Nov 1995, observed 542.084 ms, normal 540.062 ms, exact world
S08 diagnostic day 28/31: 25 Nov 1995 -> 26 Nov 1995, observed 542.854 ms, normal 542.790 ms, exact world
S08 diagnostic day 29/31: 26 Nov 1995 -> 27 Nov 1995, observed 508.493 ms, normal 477.638 ms, exact world
S08 diagnostic day 30/31: 27 Nov 1995 -> 28 Nov 1995, observed 1496.255 ms, normal 1379.402 ms, exact world
S08 diagnostic day 31/31: 28 Nov 1995 -> 29 Nov 1995, observed 448.928 ms, normal 456.248 ms, exact world
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 345 filtered out; finished in 54.95s

