
running 1 test
test performance::s08_daily_subsystem_diagnosis ... S08 diagnostic day 1/31: 29 Oct 1995 -> 30 Oct 1995, observed 341.744 ms, normal 365.721 ms, exact world
S08 diagnostic day 2/31: 30 Oct 1995 -> 31 Oct 1995, observed 427.528 ms, normal 441.194 ms, exact world
S08 diagnostic day 3/31: 31 Oct 1995 -> 1 Nov 1995, observed 534.144 ms, normal 519.233 ms, exact world
S08 diagnostic day 4/31: 1 Nov 1995 -> 2 Nov 1995, observed 376.434 ms, normal 373.489 ms, exact world
S08 diagnostic day 5/31: 2 Nov 1995 -> 3 Nov 1995, observed 135.168 ms, normal 137.869 ms, exact world
S08 diagnostic day 6/31: 3 Nov 1995 -> 4 Nov 1995, observed 128.621 ms, normal 134.589 ms, exact world
S08 diagnostic day 7/31: 4 Nov 1995 -> 5 Nov 1995, observed 171.144 ms, normal 161.797 ms, exact world
S08 diagnostic day 8/31: 5 Nov 1995 -> 6 Nov 1995, observed 153.832 ms, normal 148.194 ms, exact world
S08 diagnostic day 9/31: 6 Nov 1995 -> 7 Nov 1995, observed 299.802 ms, normal 314.950 ms, exact world
S08 diagnostic day 10/31: 7 Nov 1995 -> 8 Nov 1995, observed 191.784 ms, normal 182.977 ms, exact world
S08 diagnostic day 11/31: 8 Nov 1995 -> 9 Nov 1995, observed 210.266 ms, normal 194.410 ms, exact world
S08 diagnostic day 12/31: 9 Nov 1995 -> 10 Nov 1995, observed 186.559 ms, normal 199.035 ms, exact world
S08 diagnostic day 13/31: 10 Nov 1995 -> 11 Nov 1995, observed 241.242 ms, normal 227.159 ms, exact world
S08 diagnostic day 14/31: 11 Nov 1995 -> 12 Nov 1995, observed 193.040 ms, normal 144.105 ms, exact world
S08 diagnostic day 15/31: 12 Nov 1995 -> 13 Nov 1995, observed 172.696 ms, normal 171.577 ms, exact world
S08 diagnostic day 16/31: 13 Nov 1995 -> 14 Nov 1995, observed 207.687 ms, normal 207.475 ms, exact world
S08 diagnostic day 17/31: 14 Nov 1995 -> 15 Nov 1995, observed 399.606 ms, normal 351.069 ms, exact world
S08 diagnostic day 18/31: 15 Nov 1995 -> 16 Nov 1995, observed 358.076 ms, normal 357.964 ms, exact world
S08 diagnostic day 19/31: 16 Nov 1995 -> 17 Nov 1995, observed 329.179 ms, normal 329.393 ms, exact world
S08 diagnostic day 20/31: 17 Nov 1995 -> 18 Nov 1995, observed 430.179 ms, normal 445.618 ms, exact world
S08 diagnostic day 21/31: 18 Nov 1995 -> 19 Nov 1995, observed 462.693 ms, normal 471.991 ms, exact world
S08 diagnostic day 22/31: 19 Nov 1995 -> 20 Nov 1995, observed 520.532 ms, normal 483.473 ms, exact world
S08 diagnostic day 23/31: 20 Nov 1995 -> 21 Nov 1995, observed 451.646 ms, normal 448.390 ms, exact world
S08 diagnostic day 24/31: 21 Nov 1995 -> 22 Nov 1995, observed 471.994 ms, normal 447.711 ms, exact world
S08 diagnostic day 25/31: 22 Nov 1995 -> 23 Nov 1995, observed 488.640 ms, normal 509.666 ms, exact world
S08 diagnostic day 26/31: 23 Nov 1995 -> 24 Nov 1995, observed 535.936 ms, normal 450.842 ms, exact world
S08 diagnostic day 27/31: 24 Nov 1995 -> 25 Nov 1995, observed 480.929 ms, normal 483.450 ms, exact world
S08 diagnostic day 28/31: 25 Nov 1995 -> 26 Nov 1995, observed 479.719 ms, normal 521.712 ms, exact world
S08 diagnostic day 29/31: 26 Nov 1995 -> 27 Nov 1995, observed 415.873 ms, normal 388.942 ms, exact world
S08 diagnostic day 30/31: 27 Nov 1995 -> 28 Nov 1995, observed 2369.104 ms, normal 2495.429 ms, exact world
S08 diagnostic day 31/31: 28 Nov 1995 -> 29 Nov 1995, observed 403.880 ms, normal 435.198 ms, exact world
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 345 filtered out; finished in 51.26s

