
running 1 test
test performance::s08_daily_subsystem_diagnosis ... S08 diagnostic day 1/31: 29 Oct 1995 -> 30 Oct 1995, observed 403.757 ms, normal 365.805 ms, exact world
S08 diagnostic day 2/31: 30 Oct 1995 -> 31 Oct 1995, observed 375.894 ms, normal 391.834 ms, exact world
S08 diagnostic day 3/31: 31 Oct 1995 -> 1 Nov 1995, observed 480.016 ms, normal 497.318 ms, exact world
S08 diagnostic day 4/31: 1 Nov 1995 -> 2 Nov 1995, observed 289.683 ms, normal 307.828 ms, exact world
S08 diagnostic day 5/31: 2 Nov 1995 -> 3 Nov 1995, observed 158.711 ms, normal 164.100 ms, exact world
S08 diagnostic day 6/31: 3 Nov 1995 -> 4 Nov 1995, observed 156.363 ms, normal 152.827 ms, exact world
S08 diagnostic day 7/31: 4 Nov 1995 -> 5 Nov 1995, observed 164.500 ms, normal 176.823 ms, exact world
S08 diagnostic day 8/31: 5 Nov 1995 -> 6 Nov 1995, observed 162.909 ms, normal 161.785 ms, exact world
S08 diagnostic day 9/31: 6 Nov 1995 -> 7 Nov 1995, observed 246.482 ms, normal 257.062 ms, exact world
S08 diagnostic day 10/31: 7 Nov 1995 -> 8 Nov 1995, observed 168.993 ms, normal 178.374 ms, exact world
S08 diagnostic day 11/31: 8 Nov 1995 -> 9 Nov 1995, observed 207.555 ms, normal 200.666 ms, exact world
S08 diagnostic day 12/31: 9 Nov 1995 -> 10 Nov 1995, observed 208.840 ms, normal 205.367 ms, exact world
S08 diagnostic day 13/31: 10 Nov 1995 -> 11 Nov 1995, observed 235.049 ms, normal 234.208 ms, exact world
S08 diagnostic day 14/31: 11 Nov 1995 -> 12 Nov 1995, observed 191.917 ms, normal 169.349 ms, exact world
S08 diagnostic day 15/31: 12 Nov 1995 -> 13 Nov 1995, observed 205.582 ms, normal 205.465 ms, exact world
S08 diagnostic day 16/31: 13 Nov 1995 -> 14 Nov 1995, observed 244.976 ms, normal 247.938 ms, exact world
S08 diagnostic day 17/31: 14 Nov 1995 -> 15 Nov 1995, observed 398.096 ms, normal 406.020 ms, exact world
S08 diagnostic day 18/31: 15 Nov 1995 -> 16 Nov 1995, observed 414.412 ms, normal 416.019 ms, exact world
S08 diagnostic day 19/31: 16 Nov 1995 -> 17 Nov 1995, observed 386.509 ms, normal 377.074 ms, exact world
S08 diagnostic day 20/31: 17 Nov 1995 -> 18 Nov 1995, observed 398.810 ms, normal 387.190 ms, exact world
S08 diagnostic day 21/31: 18 Nov 1995 -> 19 Nov 1995, observed 414.965 ms, normal 410.650 ms, exact world
S08 diagnostic day 22/31: 19 Nov 1995 -> 20 Nov 1995, observed 449.048 ms, normal 447.188 ms, exact world
S08 diagnostic day 23/31: 20 Nov 1995 -> 21 Nov 1995, observed 397.125 ms, normal 399.451 ms, exact world
S08 diagnostic day 24/31: 21 Nov 1995 -> 22 Nov 1995, observed 429.751 ms, normal 417.937 ms, exact world
S08 diagnostic day 25/31: 22 Nov 1995 -> 23 Nov 1995, observed 480.112 ms, normal 493.677 ms, exact world
S08 diagnostic day 26/31: 23 Nov 1995 -> 24 Nov 1995, observed 489.361 ms, normal 496.862 ms, exact world
S08 diagnostic day 27/31: 24 Nov 1995 -> 25 Nov 1995, observed 479.958 ms, normal 479.663 ms, exact world
S08 diagnostic day 28/31: 25 Nov 1995 -> 26 Nov 1995, observed 483.395 ms, normal 471.272 ms, exact world
S08 diagnostic day 29/31: 26 Nov 1995 -> 27 Nov 1995, observed 410.882 ms, normal 473.635 ms, exact world
S08 diagnostic day 30/31: 27 Nov 1995 -> 28 Nov 1995, observed 765.366 ms, normal 796.080 ms, exact world
S08 diagnostic day 31/31: 28 Nov 1995 -> 29 Nov 1995, observed 433.079 ms, normal 426.068 ms, exact world
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 345 filtered out; finished in 50.25s

