elapsed_ms,private_bytes,working_set_bytes,os_peak_working_set_bytes
27.116,1347584,3198976,3198976
153.584,29470720,37359616,57012224
279.852,44756992,53116928,71012352
402.752,64540672,75984896,83480576
513.861,70029312,80891904,83980288
640.908,54915072,62164992,84914176
764.705,68857856,80084992,85590016
891.170,51240960,62349312,85950464
1015.275,56504320,64868352,85950464
1141.233,70180864,81027072,86818816
1267.214,56627200,66760704,87166976
1391.774,60112896,67092480,87224320
1515.027,56889344,67702784,87298048
1640.526,71462912,82358272,87298048
1764.548,72347648,82915328,87838720
1888.609,62881792,71954432,88621056
2014.617,73089024,83861504,88702976
2139.669,65867776,75141120,89468928
2266.188,73592832,83984384,89538560
2391.500,65519616,75988992,89800704
2513.629,73039872,84447232,89800704
2639.623,68132864,79290368,89993216
2767.502,72679424,82268160,90062848
2893.977,74641408,85753856,90103808
3017.630,75759616,87203840,91787264
3128.440,78061568,88010752,108994560
3237.938,187400192,196493312,196493312
3347.362,306585600,312254464,312254464
3456.859,187363328,196608000,328245248
3566.666,195325952,197746688,328245248
3674.984,117256192,107151360,328245248
3784.486,108359680,108564480,328245248
3895.143,112050176,119959552,328245248
4005.401,114728960,122769408,328245248
4116.478,134057984,144687104,328245248
4225.373,121458688,131813376,328245248
4337.141,129417216,139788288,328245248
4446.939,138608640,148398080,328245248
4555.917,125792256,135790592,328245248
4663.399,139894784,150261760,328245248
4775.369,139624448,149340160,328245248
4886.335,138797056,148848640,328245248
4996.986,131244032,140259328,328245248
5106.610,128167936,138379264,328245248
5212.717,141676544,151367680,328245248
5323.270,142139392,150917120,328245248
5436.794,133570560,143122432,328245248
5556.693,142790656,152055808,328245248
5666.245,142966784,152637440,328245248
5776.600,144723968,154636288,328245248
5885.488,144732160,154669056,328245248
5997.538,144994304,154890240,328245248
6121.511,144994304,155168768,328245248
6234.068,145436672,155451392,328245248
6356.339,145756160,155955200,328245248
6464.186,146808832,156971008,328245248
6575.639,145756160,155996160,328245248
6702.158,147259392,156889088,328245248
6827.740,147636224,157552640,328245248
6952.451,148164608,158081024,328245248
7078.385,148164608,158158848,328245248
7189.760,148541440,158564352,328245248
7314.153,148541440,158826496,328245248
7425.775,148918272,159199232,328245248
7534.886,150511616,160505856,328245248
7643.017,149872640,160063488,328245248
7753.205,149880832,160079872,328245248
7862.765,150802432,161124352,328245248
7973.933,150093824,160358400,328245248
8083.874,152248320,161910784,328245248
8193.617,150474752,160845824,328245248
8303.915,186466304,191148032,328245248
8415.133,190234624,195231744,328245248
8523.484,262254592,267526144,328245248
8634.505,375156736,378744832,378744832
8743.572,472342528,472129536,472367104
8855.227,317751296,323067904,472367104
8965.373,326565888,323846144,472367104
9075.126,387362816,383283200,472367104
9185.664,145207296,143269888,472367104
9309.707,163332096,138526720,472367104
9436.626,152125440,132866048,472367104
9561.958,177119232,160604160,472367104
9688.447,183103488,165388288,472367104
9814.537,187822080,170594304,472367104
9937.201,193024000,176263168,472367104
10062.555,193024000,176607232,472367104
10189.477,194940928,177819648,472367104
10302.075,195809280,179003392,472367104
10412.652,195809280,179003392,472367104
10521.748,196964352,180162560,472367104
10630.839,196165632,179363840,472367104
10743.982,196165632,179363840,472367104
10852.261,196165632,179363840,472367104
10961.328,196165632,179351552,472367104
11071.704,196165632,179908608,472367104
11182.407,197210112,180994048,472367104
11293.258,197210112,181145600,472367104
11402.649,198443008,181809152,472367104
11511.034,148799488,158519296,472367104
11622.279,159178752,167673856,472367104
11731.006,163000320,171335680,472367104
11844.529,163078144,171913216,472367104
11969.041,164233216,172507136,472367104
12095.907,163467264,172208128,472367104
12217.749,163479552,172224512,472367104
12343.503,164253696,172785664,472367104
12468.212,164257792,172793856,472367104
12592.312,166608896,174174208,472367104
12717.418,165466112,174088192,472367104
12842.398,165466112,174129152,472367104
12968.586,165466112,174211072,472367104
13096.156,165859328,174370816,472367104
13205.534,167964672,176123904,472367104
13328.246,165867520,174473216,472367104
13453.140,166293504,174895104,472367104
13578.734,168398848,177020928,472367104
13703.431,166305792,175112192,472367104
13828.619,166305792,175132672,472367104
13953.313,166690816,175407104,472367104
14080.355,166699008,175439872,472367104
14206.551,167841792,176320512,472367104
14315.525,167092224,175734784,472367104
14424.883,167092224,175742976,472367104
14536.963,167489536,176037888,472367104
14646.773,167514112,176058368,472367104
14759.308,167899136,176340992,472367104
14866.931,170024960,177664000,472367104
14980.991,169062400,177106944,472367104
15088.323,167919616,176369664,472367104
